   X,    Y,    Latitude,   Longitude, HGT_201906170000
   1,    1,   48.862147, -101.607558,      787.647
   2,    1,   48.866940, -101.456441,      761.647
   3,    1,   48.871623, -101.305308,      743.272
   4,    1,   48.876194, -101.154159,      697.022
   5,    1,   48.880654, -101.002995,      648.272
   6,    1,   48.885004, -100.851816,      586.647
   7,    1,   48.889242, -100.700623,      511.022
   8,    1,   48.893369, -100.549415,      429.772
   9,    1,   48.897386, -100.398194,      407.522
  10,    1,   48.901291, -100.246959,      416.897
  11,    1,   48.905085, -100.095711,      438.647
  12,    1,   48.908768,  -99.944450,      458.522
  13,    1,   48.912340,  -99.793177,      469.397
  14,    1,   48.915801,  -99.641892,      469.897
  15,    1,   48.919151,  -99.490596,      446.397
  16,    1,   48.922390,  -99.339288,      404.647
  17,    1,   48.925518,  -99.187970,      354.147
  18,    1,   48.928535,  -99.036641,      317.147
  19,    1,   48.931440,  -98.885302,      297.272
  20,    1,   48.934235,  -98.733953,      303.647
  21,    1,   48.936919,  -98.582595,      327.397
  22,    1,   48.939491,  -98.431228,      351.397
  23,    1,   48.941953,  -98.279852,      325.272
  24,    1,   48.944303,  -98.128469,      298.397
  25,    1,   48.946542,  -97.977077,      279.647
  26,    1,   48.948670,  -97.825678,      270.772
  27,    1,   48.950688,  -97.674272,      260.147
  28,    1,   48.952594,  -97.522860,      249.647
  29,    1,   48.954389,  -97.371441,      234.272
  30,    1,   48.956073,  -97.220016,      218.522
  31,    1,   48.957645,  -97.068586,      207.397
  32,    1,   48.959107,  -96.917150,      230.897
  33,    1,   48.960458,  -96.765710,      261.772
  34,    1,   48.961697,  -96.614265,      310.522
  35,    1,   48.962826,  -96.462816,      359.647
  36,    1,   48.963843,  -96.311364,      400.272
  37,    1,   48.964749,  -96.159908,      425.022
  38,    1,   48.965545,  -96.008449,      439.522
  39,    1,   48.966229,  -95.856988,      451.147
  40,    1,   48.966802,  -95.705525,      460.397
  41,    1,   48.967264,  -95.554060,      440.897
  42,    1,   48.967615,  -95.402594,      293.897
  43,    1,   48.967854,  -95.251126,      142.397
  44,    1,   48.967983,  -95.099658,       96.022
   1,    2,   48.961514, -101.614937,      709.647
   2,    2,   48.966308, -101.463652,      699.397
   3,    2,   48.970992, -101.312350,      673.272
   4,    2,   48.975564, -101.161033,      619.022
   5,    2,   48.980026, -101.009701,      583.897
   6,    2,   48.984376, -100.858354,      555.147
   7,    2,   48.988615, -100.706992,      515.147
   8,    2,   48.992744, -100.555615,      432.647
   9,    2,   48.996761, -100.404225,      428.897
  10,    2,   49.000667, -100.252822,      432.772
  11,    2,   49.004462, -100.101405,      438.272
  12,    2,   49.008146,  -99.949976,      448.897
  13,    2,   49.011719,  -99.798534,      467.772
  14,    2,   49.015181,  -99.647080,      477.397
  15,    2,   49.018532,  -99.495615,      458.272
  16,    2,   49.021771,  -99.344138,      415.522
  17,    2,   49.024900,  -99.192651,      372.397
  18,    2,   49.027917,  -99.041153,      346.772
  19,    2,   49.030824,  -98.889645,      320.147
  20,    2,   49.033619,  -98.738127,      316.147
  21,    2,   49.036303,  -98.586600,      339.647
  22,    2,   49.038877,  -98.435064,      366.772
  23,    2,   49.041339,  -98.283519,      352.772
  24,    2,   49.043690,  -98.131967,      335.397
  25,    2,   49.045929,  -97.980406,      319.647
  26,    2,   49.048058,  -97.828838,      305.022
  27,    2,   49.050076,  -97.677263,      291.397
  28,    2,   49.051982,  -97.525681,      275.897
  29,    2,   49.053778,  -97.374093,      260.272
  30,    2,   49.055462,  -97.222499,      247.272
  31,    2,   49.057035,  -97.070899,      240.272
  32,    2,   49.058497,  -96.919294,      252.647
  33,    2,   49.059848,  -96.767684,      281.147
  34,    2,   49.061088,  -96.616070,      328.272
  35,    2,   49.062217,  -96.464452,      387.772
  36,    2,   49.063234,  -96.312830,      426.772
  37,    2,   49.064141,  -96.161205,      469.522
