   X,    Y,    Latitude,   Longitude, HPBL_201906300000
   1,    1,   48.862147, -101.607558,     1553.600
   2,    1,   48.866940, -101.456441,     1553.600
   3,    1,   48.871623, -101.305308,     1385.600
   4,    1,   48.876194, -101.154159,     1236.480
   5,    1,   48.880654, -101.002995,      991.040
   6,    1,   48.885004, -100.851816,      991.040
   7,    1,   48.889242, -100.700623,      887.680
   8,    1,   48.893369, -100.549415,      729.440
   9,    1,   48.897386, -100.398194,      247.040
  10,    1,   48.901291, -100.246959,      335.840
  11,    1,   48.905085, -100.095711,      335.840
  12,    1,   48.908768,  -99.944450,      335.680
  13,    1,   48.912340,  -99.793177,      291.040
  14,    1,   48.915801,  -99.641892,      293.120
  15,    1,   48.919151,  -99.490596,      249.920
  16,    1,   48.922390,  -99.339288,      249.920
  17,    1,   48.925518,  -99.187970,      439.680
  18,    1,   48.928535,  -99.036641,     1096.480
  19,    1,   48.931440,  -98.885302,      295.680
  20,    1,   48.934235,  -98.733953,      295.680
  21,    1,   48.936919,  -98.582595,      250.720
  22,    1,   48.939491,  -98.431228,      207.200
  23,    1,   48.941953,  -98.279852,      164.800
  24,    1,   48.944303,  -98.128469,      300.800
  25,    1,   48.946542,  -97.977077,      300.800
  26,    1,   48.948670,  -97.825678,      303.200
  27,    1,   48.950688,  -97.674272,      626.240
  28,    1,   48.952594,  -97.522860,      758.720
  29,    1,   48.954389,  -97.371441,     1428.800
  30,    1,   48.956073,  -97.220016,     1427.840
  31,    1,   48.957645,  -97.068586,     1270.080
  32,    1,   48.959107,  -96.917150,     1267.360
  33,    1,   48.960458,  -96.765710,     1264.640
  34,    1,   48.961697,  -96.614265,     1264.640
  35,    1,   48.962826,  -96.462816,     1127.360
  36,    1,   48.963843,  -96.311364,      909.120
  37,    1,   48.964749,  -96.159908,     1008.640
  38,    1,   48.965545,  -96.008449,      906.400
  39,    1,   48.966229,  -95.856988,      906.400
  40,    1,   48.966802,  -95.705525,      906.240
  41,    1,   48.967264,  -95.554060,      822.240
  42,    1,   48.967615,  -95.402594,      821.920
  43,    1,   48.967854,  -95.251126,      821.920
  44,    1,   48.967983,  -95.099658,      820.160
   1,    2,   48.961514, -101.614937,     1971.040
   2,    2,   48.966308, -101.463652,     1554.080
   3,    2,   48.970992, -101.312350,     1386.080
   4,    2,   48.975564, -101.161033,     1236.480
   5,    2,   48.980026, -101.009701,      990.880
   6,    2,   48.984376, -100.858354,      990.880
   7,    2,   48.988615, -100.706992,      886.880
   8,    2,   48.992744, -100.555615,      726.880
   9,    2,   48.996761, -100.404225,      538.400
  10,    2,   49.000667, -100.252822,      244.960
  11,    2,   49.004462, -100.101405,      244.960
  12,    2,   49.008146,  -99.949976,      289.120
  13,    2,   49.011719,  -99.798534,      291.040
  14,    2,   49.015181,  -99.647080,      248.640
  15,    2,   49.018532,  -99.495615,      248.640
  16,    2,   49.021771,  -99.344138,      163.200
  17,    2,   49.024900,  -99.192651,      250.400
  18,    2,   49.027917,  -99.041153,      295.520
  19,    2,   49.030824,  -98.889645,      250.720
  20,    2,   49.033619,  -98.738127,      250.720
  21,    2,   49.036303,  -98.586600,      250.880
  22,    2,   49.038877,  -98.435064,      164.320
  23,    2,   49.041339,  -98.283519,       81.600
  24,    2,   49.043690,  -98.131967,       81.600
  25,    2,   49.045929,  -97.980406,      166.720
  26,    2,   49.048058,  -97.828838,      452.800
  27,    2,   49.050076,  -97.677263,      689.760
  28,    2,   49.051982,  -97.525681,      918.240
  29,    2,   49.053778,  -97.374093,      918.240
  30,    2,   49.055462,  -97.222499,     1426.880
  31,    2,   49.057035,  -97.070899,     1268.480
  32,    2,   49.058497,  -96.919294,     1265.600
  33,    2,   49.059848,  -96.767684,     1127.520
  34,    2,   49.061088,  -96.616070,     1127.520
  35,    2,   49.062217,  -96.464452,     1010.560
  36,    2,   49.063234,  -96.312830,     1009.440
  37,    2,   49.064141,  -96.161205,     1008.640
  38,    2,   49.064936,  -96.009577,     1006.560
  39,    2,   49.065621,  -95.857947,      904.480
  40,    2,   49.066194,  -95.706314,      904.800
