   X,    Y,    Latitude,   Longitude, UGRD_201906170000
   1,    1,   48.862147, -101.607558,       -2.710
   2,    1,   48.866940, -101.456441,       -2.897
   3,    1,   48.871623, -101.305308,       -3.022
   4,    1,   48.876194, -101.154159,       -3.085
   5,    1,   48.880654, -101.002995,       -3.147
   6,    1,   48.885004, -100.851816,       -3.210
   7,    1,   48.889242, -100.700623,       -3.210
   8,    1,   48.893369, -100.549415,       -3.147
   9,    1,   48.897386, -100.398194,       -3.335
  10,    1,   48.901291, -100.246959,       -3.647
  11,    1,   48.905085, -100.095711,       -3.772
  12,    1,   48.908768,  -99.944450,       -3.772
  13,    1,   48.912340,  -99.793177,       -3.647
  14,    1,   48.915801,  -99.641892,       -3.335
  15,    1,   48.919151,  -99.490596,       -2.960
  16,    1,   48.922390,  -99.339288,       -2.397
  17,    1,   48.925518,  -99.187970,       -1.835
  18,    1,   48.928535,  -99.036641,       -1.772
  19,    1,   48.931440,  -98.885302,       -1.897
  20,    1,   48.934235,  -98.733953,       -2.210
  21,    1,   48.936919,  -98.582595,       -2.585
  22,    1,   48.939491,  -98.431228,       -2.772
  23,    1,   48.941953,  -98.279852,       -2.585
  24,    1,   48.944303,  -98.128469,       -2.397
  25,    1,   48.946542,  -97.977077,       -2.460
  26,    1,   48.948670,  -97.825678,       -2.647
  27,    1,   48.950688,  -97.674272,       -2.835
  28,    1,   48.952594,  -97.522860,       -3.147
  29,    1,   48.954389,  -97.371441,       -3.335
  30,    1,   48.956073,  -97.220016,       -3.585
  31,    1,   48.957645,  -97.068586,       -3.897
  32,    1,   48.959107,  -96.917150,       -4.585
  33,    1,   48.960458,  -96.765710,       -5.522
  34,    1,   48.961697,  -96.614265,       -6.460
  35,    1,   48.962826,  -96.462816,       -7.335
  36,    1,   48.963843,  -96.311364,       -8.022
  37,    1,   48.964749,  -96.159908,       -8.272
  38,    1,   48.965545,  -96.008449,       -8.522
  39,    1,   48.966229,  -95.856988,       -8.772
  40,    1,   48.966802,  -95.705525,       -8.710
  41,    1,   48.967264,  -95.554060,       -8.460
  42,    1,   48.967615,  -95.402594,       -7.460
  43,    1,   48.967854,  -95.251126,       -6.960
  44,    1,   48.967983,  -95.099658,       -6.460
   1,    2,   48.961514, -101.614937,       -3.085
   2,    2,   48.966308, -101.463652,       -3.147
   3,    2,   48.970992, -101.312350,       -3.210
   4,    2,   48.975564, -101.161033,       -3.210
   5,    2,   48.980026, -101.009701,       -3.272
   6,    2,   48.984376, -100.858354,       -3.335
   7,    2,   48.988615, -100.706992,       -3.335
   8,    2,   48.992744, -100.555615,       -3.397
   9,    2,   48.996761, -100.404225,       -3.460
  10,    2,   49.000667, -100.252822,       -3.522
  11,    2,   49.004462, -100.101405,       -3.772
  12,    2,   49.008146,  -99.949976,       -3.897
  13,    2,   49.011719,  -99.798534,       -3.897
  14,    2,   49.015181,  -99.647080,       -3.835
  15,    2,   49.018532,  -99.495615,       -3.522
  16,    2,   49.021771,  -99.344138,       -3.147
  17,    2,   49.024900,  -99.192651,       -2.772
  18,    2,   49.027917,  -99.041153,       -2.585
  19,    2,   49.030824,  -98.889645,       -2.710
  20,    2,   49.033619,  -98.738127,       -3.022
  21,    2,   49.036303,  -98.586600,       -3.460
  22,    2,   49.038877,  -98.435064,       -3.647
  23,    2,   49.041339,  -98.283519,       -3.397
  24,    2,   49.043690,  -98.131967,       -3.272
  25,    2,   49.045929,  -97.980406,       -3.272
  26,    2,   49.048058,  -97.828838,       -3.272
  27,    2,   49.050076,  -97.677263,       -3.585
  28,    2,   49.051982,  -97.525681,       -3.647
  29,    2,   49.053778,  -97.374093,       -3.960
  30,    2,   49.055462,  -97.222499,       -4.460
  31,    2,   49.057035,  -97.070899,       -4.835
  32,    2,   49.058497,  -96.919294,       -5.147
  33,    2,   49.059848,  -96.767684,       -5.710
  34,    2,   49.061088,  -96.616070,       -6.460
  35,    2,   49.062217,  -96.464452,       -7.272
  36,    2,   49.063234,  -96.312830,       -7.835
  37,    2,   49.064141,  -96.161205,       -8.272
  38,    2,   49.064936,  -96.009577,       -8.585
  39,    2,   49.065621,  -95.857947,       -8.710
  40,    2,   49.066194,  -95.706314,       -8.585
  41,    2,   49.066656,  -95.554680,       -8.460
  42,    2,   49.067007,  -95.403044,       -8.022
  43,    2,   49.067247,  -95.251407,       -7.210
  44,    2,   49.067375,  -95.099770,       -6.335
   1,    3,   49.060793, -101.622332,       -3.272
   2,    3,   49.065589, -101.470878,       -3.335
   3,    3,   49.070274, -101.319408,       -3.335
   4,    3,   49.074847, -101.167923,       -3.335
   5,    3,   49.079310, -101.016421,       -3.397
   6,    3,   49.083661, -100.864905,       -3.460
   7,    3,   49.087902, -100.713374,       -3.397
   8,    3,   49.092031, -100.561829,       -3.210
   9,    3,   49.096049, -100.410270,       -3.210
  10,    3,   49.099956, -100.258698,       -3.335
  11,    3,   49.103752, -100.107112,       -3.647
  12,    3,   49.107437,  -99.955513,       -3.835
  13,    3,   49.111011,  -99.803902,       -3.897
  14,    3,   49.114473,  -99.652280,       -3.960
  15,    3,   49.117825,  -99.500645,       -3.897
  16,    3,   49.121065,  -99.348999,       -3.710
  17,    3,   49.124195,  -99.197342,       -3.460
  18,    3,   49.127213,  -99.045675,       -3.522
  19,    3,   49.130120,  -98.893998,       -3.647
  20,    3,   49.132916,  -98.742311,       -3.897
  21,    3,   49.135601,  -98.590614,       -4.210
  22,    3,   49.138175,  -98.438909,       -4.397
  23,    3,   49.140637,  -98.287195,       -4.210
  24,    3,   49.142989,  -98.135472,       -3.835
  25,    3,   49.145229,  -97.983742,       -3.397
  26,    3,   49.147358,  -97.832005,       -3.272
  27,    3,   49.149376,  -97.680260,       -3.460
  28,    3,   49.151283,  -97.528508,       -3.835
  29,    3,   49.153079,  -97.376750,       -4.397
  30,    3,   49.154764,  -97.224987,       -5.147
  31,    3,   49.156338,  -97.073217,       -5.647
