   X,    Y,    Latitude,   Longitude, VGRD_201906102200
   1,    1,   48.862147, -101.607558,       -0.713
   2,    1,   48.866940, -101.456441,       -0.400
   3,    1,   48.871623, -101.305308,       -0.213
   4,    1,   48.876194, -101.154159,       -0.213
   5,    1,   48.880654, -101.002995,       -0.213
   6,    1,   48.885004, -100.851816,       -0.275
   7,    1,   48.889242, -100.700623,       -0.400
   8,    1,   48.893369, -100.549415,       -0.588
   9,    1,   48.897386, -100.398194,       -0.713
  10,    1,   48.901291, -100.246959,       -1.025
  11,    1,   48.905085, -100.095711,       -1.150
  12,    1,   48.908768,  -99.944450,       -1.275
  13,    1,   48.912340,  -99.793177,       -1.588
  14,    1,   48.915801,  -99.641892,       -1.838
  15,    1,   48.919151,  -99.490596,       -1.963
  16,    1,   48.922390,  -99.339288,       -2.150
  17,    1,   48.925518,  -99.187970,       -2.338
  18,    1,   48.928535,  -99.036641,       -2.525
  19,    1,   48.931440,  -98.885302,       -2.650
  20,    1,   48.934235,  -98.733953,       -2.713
  21,    1,   48.936919,  -98.582595,       -2.713
  22,    1,   48.939491,  -98.431228,       -2.588
  23,    1,   48.941953,  -98.279852,       -2.338
  24,    1,   48.944303,  -98.128469,       -2.213
  25,    1,   48.946542,  -97.977077,       -2.088
  26,    1,   48.948670,  -97.825678,       -2.088
  27,    1,   48.950688,  -97.674272,       -2.213
  28,    1,   48.952594,  -97.522860,       -2.338
  29,    1,   48.954389,  -97.371441,       -2.525
  30,    1,   48.956073,  -97.220016,       -2.775
  31,    1,   48.957645,  -97.068586,       -2.963
  32,    1,   48.959107,  -96.917150,       -3.150
  33,    1,   48.960458,  -96.765710,       -3.275
  34,    1,   48.961697,  -96.614265,       -3.463
  35,    1,   48.962826,  -96.462816,       -3.588
  36,    1,   48.963843,  -96.311364,       -3.650
  37,    1,   48.964749,  -96.159908,       -3.650
  38,    1,   48.965545,  -96.008449,       -3.650
  39,    1,   48.966229,  -95.856988,       -3.713
  40,    1,   48.966802,  -95.705525,       -3.588
  41,    1,   48.967264,  -95.554060,       -3.525
  42,    1,   48.967615,  -95.402594,       -3.150
  43,    1,   48.967854,  -95.251126,       -3.025
  44,    1,   48.967983,  -95.099658,       -2.775
   1,    2,   48.961514, -101.614937,       -0.650
   2,    2,   48.966308, -101.463652,       -0.463
   3,    2,   48.970992, -101.312350,       -0.088
   4,    2,   48.975564, -101.161033,       -0.150
   5,    2,   48.980026, -101.009701,       -0.150
   6,    2,   48.984376, -100.858354,       -0.150
   7,    2,   48.988615, -100.706992,       -0.275
   8,    2,   48.992744, -100.555615,       -0.400
   9,    2,   48.996761, -100.404225,       -0.713
  10,    2,   49.000667, -100.252822,       -1.088
  11,    2,   49.004462, -100.101405,       -1.338
  12,    2,   49.008146,  -99.949976,       -1.588
  13,    2,   49.011719,  -99.798534,       -1.963
  14,    2,   49.015181,  -99.647080,       -2.150
  15,    2,   49.018532,  -99.495615,       -2.275
  16,    2,   49.021771,  -99.344138,       -2.400
  17,    2,   49.024900,  -99.192651,       -2.525
  18,    2,   49.027917,  -99.041153,       -2.588
  19,    2,   49.030824,  -98.889645,       -2.650
  20,    2,   49.033619,  -98.738127,       -2.650
  21,    2,   49.036303,  -98.586600,       -2.650
  22,    2,   49.038877,  -98.435064,       -2.400
  23,    2,   49.041339,  -98.283519,       -2.150
  24,    2,   49.043690,  -98.131967,       -2.025
  25,    2,   49.045929,  -97.980406,       -2.025
  26,    2,   49.048058,  -97.828838,       -2.088
  27,    2,   49.050076,  -97.677263,       -2.150
  28,    2,   49.051982,  -97.525681,       -2.338
  29,    2,   49.053778,  -97.374093,       -2.588
  30,    2,   49.055462,  -97.222499,       -2.775
  31,    2,   49.057035,  -97.070899,       -2.963
  32,    2,   49.058497,  -96.919294,       -3.150
  33,    2,   49.059848,  -96.767684,       -3.338
  34,    2,   49.061088,  -96.616070,       -3.463
  35,    2,   49.062217,  -96.464452,       -3.525
  36,    2,   49.063234,  -96.312830,       -3.588
  37,    2,   49.064141,  -96.161205,       -3.588
  38,    2,   49.064936,  -96.009577,       -3.650
  39,    2,   49.065621,  -95.857947,       -3.588
  40,    2,   49.066194,  -95.706314,       -3.525
  41,    2,   49.066656,  -95.554680,       -3.463
  42,    2,   49.067007,  -95.403044,       -3.400
  43,    2,   49.067247,  -95.251407,       -3.213
