   X,    Y,    Latitude,   Longitude, HGT_201906111700
   1,    1,   48.862147, -101.607558,    20872.709
   2,    1,   48.866940, -101.456441,    20872.670
   3,    1,   48.871623, -101.305308,    20872.518
   4,    1,   48.876194, -101.154159,    20872.125
   5,    1,   48.880654, -101.002995,    20871.820
   6,    1,   48.885004, -100.851816,    20871.572
   7,    1,   48.889242, -100.700623,    20871.373
   8,    1,   48.893369, -100.549415,    20871.254
   9,    1,   48.897386, -100.398194,    20871.068
  10,    1,   48.901291, -100.246959,    20871.037
  11,    1,   48.905085, -100.095711,    20870.965
  12,    1,   48.908768,  -99.944450,    20870.861
  13,    1,   48.912340,  -99.793177,    20870.709
  14,    1,   48.915801,  -99.641892,    20870.637
  15,    1,   48.919151,  -99.490596,    20870.645
  16,    1,   48.922390,  -99.339288,    20870.717
  17,    1,   48.925518,  -99.187970,    20870.838
  18,    1,   48.928535,  -99.036641,    20870.709
  19,    1,   48.931440,  -98.885302,    20870.660
  20,    1,   48.934235,  -98.733953,    20870.557
  21,    1,   48.936919,  -98.582595,    20870.412
  22,    1,   48.939491,  -98.431228,    20870.236
  23,    1,   48.941953,  -98.279852,    20870.086
  24,    1,   48.944303,  -98.128469,    20869.980
  25,    1,   48.946542,  -97.977077,    20869.805
  26,    1,   48.948670,  -97.825678,    20869.533
  27,    1,   48.950688,  -97.674272,    20869.293
  28,    1,   48.952594,  -97.522860,    20868.996
  29,    1,   48.954389,  -97.371441,    20868.678
  30,    1,   48.956073,  -97.220016,    20868.350
  31,    1,   48.957645,  -97.068586,    20868.006
  32,    1,   48.959107,  -96.917150,    20867.645
  33,    1,   48.960458,  -96.765710,    20867.270
  34,    1,   48.961697,  -96.614265,    20866.916
  35,    1,   48.962826,  -96.462816,    20866.590
  36,    1,   48.963843,  -96.311364,    20866.270
  37,    1,   48.964749,  -96.159908,    20865.980
  38,    1,   48.965545,  -96.008449,    20865.725
  39,    1,   48.966229,  -95.856988,    20865.469
  40,    1,   48.966802,  -95.705525,    20865.189
  41,    1,   48.967264,  -95.554060,    20864.965
  42,    1,   48.967615,  -95.402594,    20864.781
  43,    1,   48.967854,  -95.251126,    20864.549
  44,    1,   48.967983,  -95.099658,    20864.365
   1,    2,   48.961514, -101.614937,    20873.309
   2,    2,   48.966308, -101.463652,    20873.277
   3,    2,   48.970992, -101.312350,    20873.229
   4,    2,   48.975564, -101.161033,    20872.828
   5,    2,   48.980026, -101.009701,    20872.477
   6,    2,   48.984376, -100.858354,    20872.197
   7,    2,   48.988615, -100.706992,    20871.973
   8,    2,   48.992744, -100.555615,    20871.766
   9,    2,   48.996761, -100.404225,    20871.590
  10,    2,   49.000667, -100.252822,    20871.477
  11,    2,   49.004462, -100.101405,    20871.445
  12,    2,   49.008146,  -99.949976,    20871.477
  13,    2,   49.011719,  -99.798534,    20871.301
  14,    2,   49.015181,  -99.647080,    20871.270
  15,    2,   49.018532,  -99.495615,    20871.301
  16,    2,   49.021771,  -99.344138,    20871.365
  17,    2,   49.024900,  -99.192651,    20871.350
  18,    2,   49.027917,  -99.041153,    20871.109
  19,    2,   49.030824,  -98.889645,    20871.061
  20,    2,   49.033619,  -98.738127,    20871.076
  21,    2,   49.036303,  -98.586600,    20871.061
  22,    2,   49.038877,  -98.435064,    20870.885
  23,    2,   49.041339,  -98.283519,    20870.797
  24,    2,   49.043690,  -98.131967,    20870.773
  25,    2,   49.045929,  -97.980406,    20870.621
  26,    2,   49.048058,  -97.828838,    20870.182
  27,    2,   49.050076,  -97.677263,    20869.926
  28,    2,   49.051982,  -97.525681,    20869.701
  29,    2,   49.053778,  -97.374093,    20869.357
  30,    2,   49.055462,  -97.222499,    20868.854
  31,    2,   49.057035,  -97.070899,    20868.461
  32,    2,   49.058497,  -96.919294,    20868.102
  33,    2,   49.059848,  -96.767684,    20867.732
  34,    2,   49.061088,  -96.616070,    20867.373
  35,    2,   49.062217,  -96.464452,    20867.037
  36,    2,   49.063234,  -96.312830,    20866.732
  37,    2,   49.064141,  -96.161205,    20866.389
  38,    2,   49.064936,  -96.009577,    20866.109
  39,    2,   49.065621,  -95.857947,    20866.014
  40,    2,   49.066194,  -95.706314,    20866.285
  41,    2,   49.066656,  -95.554680,    20866.045
  42,    2,   49.067007,  -95.403044,    20865.590
