   X,    Y,    Latitude,   Longitude, VRATE_201906240000
   1,    1,   48.862147, -101.607558,     8400.000
   2,    1,   48.866940, -101.456441,     8400.000
   3,    1,   48.871623, -101.305308,     8700.000
   4,    1,   48.876194, -101.154159,     9100.000
   5,    1,   48.880654, -101.002995,     8600.000
   6,    1,   48.885004, -100.851816,     8600.000
   7,    1,   48.889242, -100.700623,     8100.000
   8,    1,   48.893369, -100.549415,     7800.000
   9,    1,   48.897386, -100.398194,     7800.000
  10,    1,   48.901291, -100.246959,     7800.000
  11,    1,   48.905085, -100.095711,     7800.000
  12,    1,   48.908768,  -99.944450,     7700.000
  13,    1,   48.912340,  -99.793177,     7300.000
  14,    1,   48.915801,  -99.641892,     7100.000
  15,    1,   48.919151,  -99.490596,     6900.000
  16,    1,   48.922390,  -99.339288,     6900.000
  17,    1,   48.925518,  -99.187970,     6700.000
  18,    1,   48.928535,  -99.036641,     6600.000
  19,    1,   48.931440,  -98.885302,     6600.000
  20,    1,   48.934235,  -98.733953,     6600.000
  21,    1,   48.936919,  -98.582595,     6700.000
  22,    1,   48.939491,  -98.431228,     6600.000
  23,    1,   48.941953,  -98.279852,     6800.000
  24,    1,   48.944303,  -98.128469,     6800.000
  25,    1,   48.946542,  -97.977077,     6800.000
  26,    1,   48.948670,  -97.825678,     3500.000
  27,    1,   48.950688,  -97.674272,     7700.000
  28,    1,   48.952594,  -97.522860,     7600.000
  29,    1,   48.954389,  -97.371441,     1500.000
  30,    1,   48.956073,  -97.220016,     1600.000
  31,    1,   48.957645,  -97.068586,     1100.000
  32,    1,   48.959107,  -96.917150,      800.000
  33,    1,   48.960458,  -96.765710,     1700.000
  34,    1,   48.961697,  -96.614265,     1700.000
  35,    1,   48.962826,  -96.462816,     2000.000
  36,    1,   48.963843,  -96.311364,     7500.000
  37,    1,   48.964749,  -96.159908,     8100.000
  38,    1,   48.965545,  -96.008449,     7500.000
  39,    1,   48.966229,  -95.856988,     7500.000
  40,    1,   48.966802,  -95.705525,     7700.000
  41,    1,   48.967264,  -95.554060,     7400.000
  42,    1,   48.967615,  -95.402594,     7200.000
  43,    1,   48.967854,  -95.251126,     7200.000
  44,    1,   48.967983,  -95.099658,      100.000
   1,    2,   48.961514, -101.614937,     8700.000
   2,    2,   48.966308, -101.463652,     8800.000
   3,    2,   48.970992, -101.312350,     9000.000
   4,    2,   48.975564, -101.161033,     9100.000
   5,    2,   48.980026, -101.009701,     8500.000
   6,    2,   48.984376, -100.858354,     8500.000
   7,    2,   48.988615, -100.706992,     8000.000
   8,    2,   48.992744, -100.555615,     7400.000
   9,    2,   48.996761, -100.404225,     7700.000
  10,    2,   49.000667, -100.252822,     7600.000
  11,    2,   49.004462, -100.101405,     7600.000
  12,    2,   49.008146,  -99.949976,     7500.000
  13,    2,   49.011719,  -99.798534,     7300.000
  14,    2,   49.015181,  -99.647080,     7100.000
  15,    2,   49.018532,  -99.495615,     7100.000
  16,    2,   49.021771,  -99.344138,     6900.000
  17,    2,   49.024900,  -99.192651,     6700.000
  18,    2,   49.027917,  -99.041153,     6600.000
  19,    2,   49.030824,  -98.889645,     6600.000
  20,    2,   49.033619,  -98.738127,     6600.000
  21,    2,   49.036303,  -98.586600,     6600.000
  22,    2,   49.038877,  -98.435064,     6400.000
  23,    2,   49.041339,  -98.283519,     6500.000
  24,    2,   49.043690,  -98.131967,     6500.000
  25,    2,   49.045929,  -97.980406,     6700.000
  26,    2,   49.048058,  -97.828838,     7400.000
  27,    2,   49.050076,  -97.677263,     7400.000
  28,    2,   49.051982,  -97.525681,     7200.000
  29,    2,   49.053778,  -97.374093,     7200.000
  30,    2,   49.055462,  -97.222499,     1300.000
  31,    2,   49.057035,  -97.070899,     1400.000
  32,    2,   49.058497,  -96.919294,     1600.000
  33,    2,   49.059848,  -96.767684,     3300.000
  34,    2,   49.061088,  -96.616070,     3300.000
  35,    2,   49.062217,  -96.464452,     7600.000
  36,    2,   49.063234,  -96.312830,     7800.000
  37,    2,   49.064141,  -96.161205,     8100.000
  38,    2,   49.064936,  -96.009577,     8200.000
  39,    2,   49.065621,  -95.857947,     8400.000
  40,    2,   49.066194,  -95.706314,     8500.000
