   X,    Y,    Latitude,   Longitude, TMP_201906111700
   1,    1,   48.862147, -101.607558,      -61.150
   2,    1,   48.866940, -101.456441,      -60.970
   3,    1,   48.871623, -101.305308,      -60.970
   4,    1,   48.876194, -101.154159,      -60.970
   5,    1,   48.880654, -101.002995,      -60.790
   6,    1,   48.885004, -100.851816,      -60.790
   7,    1,   48.889242, -100.700623,      -60.790
   8,    1,   48.893369, -100.549415,      -60.610
   9,    1,   48.897386, -100.398194,      -60.610
  10,    1,   48.901291, -100.246959,      -60.610
  11,    1,   48.905085, -100.095711,      -60.610
  12,    1,   48.908768,  -99.944450,      -60.610
  13,    1,   48.912340,  -99.793177,      -60.610
  14,    1,   48.915801,  -99.641892,      -60.610
  15,    1,   48.919151,  -99.490596,      -60.610
  16,    1,   48.922390,  -99.339288,      -60.610
  17,    1,   48.925518,  -99.187970,      -60.610
  18,    1,   48.928535,  -99.036641,      -60.610
  19,    1,   48.931440,  -98.885302,      -60.790
  20,    1,   48.934235,  -98.733953,      -60.790
  21,    1,   48.936919,  -98.582595,      -60.790
  22,    1,   48.939491,  -98.431228,      -60.610
  23,    1,   48.941953,  -98.279852,      -60.610
  24,    1,   48.944303,  -98.128469,      -60.610
  25,    1,   48.946542,  -97.977077,      -60.610
  26,    1,   48.948670,  -97.825678,      -60.610
  27,    1,   48.950688,  -97.674272,      -60.610
  28,    1,   48.952594,  -97.522860,      -60.610
  29,    1,   48.954389,  -97.371441,      -60.610
  30,    1,   48.956073,  -97.220016,      -60.430
  31,    1,   48.957645,  -97.068586,      -60.430
  32,    1,   48.959107,  -96.917150,      -60.430
  33,    1,   48.960458,  -96.765710,      -60.250
  34,    1,   48.961697,  -96.614265,      -60.250
  35,    1,   48.962826,  -96.462816,      -60.250
  36,    1,   48.963843,  -96.311364,      -60.250
  37,    1,   48.964749,  -96.159908,      -60.250
  38,    1,   48.965545,  -96.008449,      -60.070
  39,    1,   48.966229,  -95.856988,      -60.070
  40,    1,   48.966802,  -95.705525,      -60.070
  41,    1,   48.967264,  -95.554060,      -59.890
  42,    1,   48.967615,  -95.402594,      -59.890
  43,    1,   48.967854,  -95.251126,      -59.890
  44,    1,   48.967983,  -95.099658,      -59.890
   1,    2,   48.961514, -101.614937,      -60.970
   2,    2,   48.966308, -101.463652,      -60.970
   3,    2,   48.970992, -101.312350,      -60.970
   4,    2,   48.975564, -101.161033,      -60.790
   5,    2,   48.980026, -101.009701,      -60.790
   6,    2,   48.984376, -100.858354,      -60.790
   7,    2,   48.988615, -100.706992,      -60.610
   8,    2,   48.992744, -100.555615,      -60.610
   9,    2,   48.996761, -100.404225,      -60.610
  10,    2,   49.000667, -100.252822,      -60.610
  11,    2,   49.004462, -100.101405,      -60.610
  12,    2,   49.008146,  -99.949976,      -60.610
  13,    2,   49.011719,  -99.798534,      -60.610
  14,    2,   49.015181,  -99.647080,      -60.610
  15,    2,   49.018532,  -99.495615,      -60.610
  16,    2,   49.021771,  -99.344138,      -60.610
  17,    2,   49.024900,  -99.192651,      -60.610
  18,    2,   49.027917,  -99.041153,      -60.610
  19,    2,   49.030824,  -98.889645,      -60.610
  20,    2,   49.033619,  -98.738127,      -60.610
  21,    2,   49.036303,  -98.586600,      -60.610
