   X,    Y,    Latitude,   Longitude, UGRD_201906300000
   1,    1,   48.862147, -101.607558,        1.952
   2,    1,   48.866940, -101.456441,        1.342
   3,    1,   48.871623, -101.305308,        0.722
   4,    1,   48.876194, -101.154159,        0.302
   5,    1,   48.880654, -101.002995,        0.182
   6,    1,   48.885004, -100.851816,        0.152
   7,    1,   48.889242, -100.700623,        0.122
   8,    1,   48.893369, -100.549415,        0.032
   9,    1,   48.897386, -100.398194,        0.112
  10,    1,   48.901291, -100.246959,        0.312
  11,    1,   48.905085, -100.095711,        0.502
  12,    1,   48.908768,  -99.944450,        0.602
  13,    1,   48.912340,  -99.793177,        0.612
  14,    1,   48.915801,  -99.641892,        0.632
  15,    1,   48.919151,  -99.490596,        0.802
  16,    1,   48.922390,  -99.339288,        1.132
  17,    1,   48.925518,  -99.187970,        1.582
  18,    1,   48.928535,  -99.036641,        2.052
  19,    1,   48.931440,  -98.885302,        2.332
  20,    1,   48.934235,  -98.733953,        2.402
  21,    1,   48.936919,  -98.582595,        2.262
  22,    1,   48.939491,  -98.431228,        1.952
  23,    1,   48.941953,  -98.279852,        1.422
  24,    1,   48.944303,  -98.128469,        0.872
  25,    1,   48.946542,  -97.977077,        0.392
  26,    1,   48.948670,  -97.825678,       -0.048
  27,    1,   48.950688,  -97.674272,       -0.528
  28,    1,   48.952594,  -97.522860,       -0.948
  29,    1,   48.954389,  -97.371441,       -1.218
  30,    1,   48.956073,  -97.220016,       -1.408
  31,    1,   48.957645,  -97.068586,       -1.588
  32,    1,   48.959107,  -96.917150,       -1.878
  33,    1,   48.960458,  -96.765710,       -2.318
  34,    1,   48.961697,  -96.614265,       -2.808
  35,    1,   48.962826,  -96.462816,       -3.248
  36,    1,   48.963843,  -96.311364,       -3.498
  37,    1,   48.964749,  -96.159908,       -3.408
  38,    1,   48.965545,  -96.008449,       -3.238
  39,    1,   48.966229,  -95.856988,       -3.058
  40,    1,   48.966802,  -95.705525,       -2.938
  41,    1,   48.967264,  -95.554060,       -2.908
  42,    1,   48.967615,  -95.402594,       -2.888
  43,    1,   48.967854,  -95.251126,       -2.908
  44,    1,   48.967983,  -95.099658,       -2.918
