   X,    Y,    Latitude,   Longitude, HGT_201906111700
   1,    1,   48.862147, -101.607558,    18252.168
   2,    1,   48.866940, -101.456441,    18251.594
   3,    1,   48.871623, -101.305308,    18250.904
   4,    1,   48.876194, -101.154159,    18249.992
   5,    1,   48.880654, -101.002995,    18249.217
   6,    1,   48.885004, -100.851816,    18248.529
   7,    1,   48.889242, -100.700623,    18247.930
   8,    1,   48.893369, -100.549415,    18247.416
   9,    1,   48.897386, -100.398194,    18246.881
  10,    1,   48.901291, -100.246959,    18246.514
  11,    1,   48.905085, -100.095711,    18246.121
  12,    1,   48.908768,  -99.944450,    18245.682
  13,    1,   48.912340,  -99.793177,    18245.201
  14,    1,   48.915801,  -99.641892,    18244.721
  15,    1,   48.919151,  -99.490596,    18244.336
  16,    1,   48.922390,  -99.339288,    18244.041
  17,    1,   48.925518,  -99.187970,    18243.785
  18,    1,   48.928535,  -99.036641,    18243.289
  19,    1,   48.931440,  -98.885302,    18242.912
  20,    1,   48.934235,  -98.733953,    18242.473
  21,    1,   48.936919,  -98.582595,    18241.992
  22,    1,   48.939491,  -98.431228,    18241.504
  23,    1,   48.941953,  -98.279852,    18241.064
  24,    1,   48.944303,  -98.128469,    18240.682
  25,    1,   48.946542,  -97.977077,    18240.266
  26,    1,   48.948670,  -97.825678,    18239.801
  27,    1,   48.950688,  -97.674272,    18239.354
  28,    1,   48.952594,  -97.522860,    18238.889
  29,    1,   48.954389,  -97.371441,    18238.434
  30,    1,   48.956073,  -97.220016,    18237.992
  31,    1,   48.957645,  -97.068586,    18237.561
  32,    1,   48.959107,  -96.917150,    18237.186
  33,    1,   48.960458,  -96.765710,    18236.816
  34,    1,   48.961697,  -96.614265,    18236.480
  35,    1,   48.962826,  -96.462816,    18236.168
  36,    1,   48.963843,  -96.311364,    18235.920
  37,    1,   48.964749,  -96.159908,    18235.689
  38,    1,   48.965545,  -96.008449,    18235.496
  39,    1,   48.966229,  -95.856988,    18235.313
  40,    1,   48.966802,  -95.705525,    18235.121
  41,    1,   48.967264,  -95.554060,    18234.889
  42,    1,   48.967615,  -95.402594,    18234.770
  43,    1,   48.967854,  -95.251126,    18234.568
  44,    1,   48.967983,  -95.099658,    18234.408
   1,    2,   48.961514, -101.614937,    18252.273
   2,    2,   48.966308, -101.463652,    18251.729
   3,    2,   48.970992, -101.312350,    18251.137
   4,    2,   48.975564, -101.161033,    18250.217
   5,    2,   48.980026, -101.009701,    18249.393
   6,    2,   48.984376, -100.858354,    18248.664
   7,    2,   48.988615, -100.706992,    18248.018
   8,    2,   48.992744, -100.555615,    18247.434
   9,    2,   48.996761, -100.404225,    18246.889
  10,    2,   49.000667, -100.252822,    18246.441
  11,    2,   49.004462, -100.101405,    18246.080
  12,    2,   49.008146,  -99.949976,    18245.762
  13,    2,   49.011719,  -99.798534,    18245.258
  14,    2,   49.015181,  -99.647080,    18244.801
  15,    2,   49.018532,  -99.495615,    18244.473
  16,    2,   49.021771,  -99.344138,    18244.193
  17,    2,   49.024900,  -99.192651,    18243.762
  18,    2,   49.027917,  -99.041153,    18243.193
  19,    2,   49.030824,  -98.889645,    18242.824
  20,    2,   49.033619,  -98.738127,    18242.514
  21,    2,   49.036303,  -98.586600,    18242.178
  22,    2,   49.038877,  -98.435064,    18241.705
  23,    2,   49.041339,  -98.283519,    18241.320
  24,    2,   49.043690,  -98.131967,    18241.041
  25,    2,   49.045929,  -97.980406,    18240.689
  26,    2,   49.048058,  -97.828838,    18240.018
  27,    2,   49.050076,  -97.677263,    18239.602
  28,    2,   49.051982,  -97.525681,    18239.201
  29,    2,   49.053778,  -97.374093,    18238.721
  30,    2,   49.055462,  -97.222499,    18238.121
  31,    2,   49.057035,  -97.070899,    18237.664
  32,    2,   49.058497,  -96.919294,    18237.281
  33,    2,   49.059848,  -96.767684,    18236.930
  34,    2,   49.061088,  -96.616070,    18236.594
  35,    2,   49.062217,  -96.464452,    18236.258
  36,    2,   49.063234,  -96.312830,    18236.025
  37,    2,   49.064141,  -96.161205,    18235.785
  38,    2,   49.064936,  -96.009577,    18235.576
  39,    2,   49.065621,  -95.857947,    18235.537
  40,    2,   49.066194,  -95.706314,    18235.930
  41,    2,   49.066656,  -95.554680,    18235.777
  42,    2,   49.067007,  -95.403044,    18235.305
  43,    2,   49.067247,  -95.251407,    18234.938
  44,    2,   49.067375,  -95.099770,    18234.568
   1,    3,   49.060793, -101.622332,    18252.369
   2,    3,   49.065589, -101.470878,    18251.850
   3,    3,   49.070274, -101.319408,    18251.281
   4,    3,   49.074847, -101.167923,    18250.426
   5,    3,   49.079310, -101.016421,    18249.584
   6,    3,   49.083661, -100.864905,    18248.824
   7,    3,   49.087902, -100.713374,    18248.152
   8,    3,   49.092031, -100.561829,    18247.529
   9,    3,   49.096049, -100.410270,    18246.953
  10,    3,   49.099956, -100.258698,    18246.480
  11,    3,   49.103752, -100.107112,    18246.145
  12,    3,   49.107437,  -99.955513,    18245.889
  13,    3,   49.111011,  -99.803902,    18245.346
  14,    3,   49.114473,  -99.652280,    18244.953
  15,    3,   49.117825,  -99.500645,    18244.721
  16,    3,   49.121065,  -99.348999,    18244.521
  17,    3,   49.124195,  -99.197342,    18243.777
  18,    3,   49.127213,  -99.045675,    18243.225
  19,    3,   49.130120,  -98.893998,    18242.881
  20,    3,   49.132916,  -98.742311,    18242.729
  21,    3,   49.135601,  -98.590614,    18242.697
  22,    3,   49.138175,  -98.438909,    18242.186
  23,    3,   49.140637,  -98.287195,    18241.674
  24,    3,   49.142989,  -98.135472,    18241.266
  25,    3,   49.145229,  -97.983742,    18240.977
  26,    3,   49.147358,  -97.832005,    18240.617
  27,    3,   49.149376,  -97.680260,    18240.225
  28,    3,   49.151283,  -97.528508,    18239.865
  29,    3,   49.153079,  -97.376750,    18239.441
  30,    3,   49.154764,  -97.224987,    18238.770
  31,    3,   49.156338,  -97.073217,    18238.064
  32,    3,   49.157800,  -96.921443,    18237.496
  33,    3,   49.159151,  -96.769663,    18237.064
  34,    3,   49.160391,  -96.617880,    18236.729
  35,    3,   49.161520,  -96.466092,    18236.369
  36,    3,   49.162538,  -96.314300,    18236.129
  37,    3,   49.163445,  -96.162505,    18235.904
  38,    3,   49.164241,  -96.010708,    18235.689
  39,    3,   49.164925,  -95.858907,    18235.504
  40,    3,   49.165498,  -95.707105,    18235.441
  41,    3,   49.165960,  -95.555301,    18236.000
  42,    3,   49.166311,  -95.403495,    18236.168
  43,    3,   49.166551,  -95.251689,    18235.568
  44,    3,   49.166680,  -95.099881,    18234.689
   1,    4,   49.159986, -101.629744,    18252.529
   2,    4,   49.164782, -101.478121,    18252.010
   3,    4,   49.169468, -101.326482,    18251.369
   4,    4,   49.174043, -101.174827,    18250.576
   5,    4,   49.178506, -101.023157,    18249.762
   6,    4,   49.182859, -100.871472,    18248.969
   7,    4,   49.187100, -100.719771,    18248.258
   8,    4,   49.191230, -100.568057,    18247.617
   9,    4,   49.195249, -100.416329,    18247.025
  10,    4,   49.199157, -100.264587,    18246.594
  11,    4,   49.202954, -100.112832,    18246.416
  12,    4,   49.206640,  -99.961064,    18246.113
  13,    4,   49.210215,  -99.809283,    18245.529
  14,    4,   49.213678,  -99.657491,    18245.240
  15,    4,   49.217030,  -99.505687,    18245.209
  16,    4,   49.220272,  -99.353871,    18244.865
  17,    4,   49.223402,  -99.202045,    18244.057
  18,    4,   49.226421,  -99.050208,    18243.633
  19,    4,   49.229328,  -98.898361,    18243.465
  20,    4,   49.232125,  -98.746504,    18243.361
  21,    4,   49.234810,  -98.594637,    18243.449
  22,    4,   49.237385,  -98.442762,    18242.641
  23,    4,   49.239848,  -98.290878,    18241.762
  24,    4,   49.242200,  -98.138986,    18241.080
  25,    4,   49.244441,  -97.987086,    18240.674
  26,    4,   49.246571,  -97.835178,    18240.168
  27,    4,   49.248589,  -97.683264,    18239.850
  28,    4,   49.250497,  -97.531342,    18239.881
  29,    4,   49.252293,  -97.379414,    18239.816
  30,    4,   49.253978,  -97.227480,    18239.209
  31,    4,   49.255552,  -97.075541,    18238.232
  32,    4,   49.257015,  -96.923596,    18237.609
  33,    4,   49.258366,  -96.771647,    18237.186
  34,    4,   49.259607,  -96.619693,    18236.842
  35,    4,   49.260736,  -96.467735,    18236.545
  36,    4,   49.261754,  -96.315774,    18236.258
  37,    4,   49.262661,  -96.163809,    18236.018
  38,    4,   49.263457,  -96.011841,    18235.816
  39,    4,   49.264142,  -95.859870,    18235.594
  40,    4,   49.264715,  -95.707898,    18235.416
  41,    4,   49.265177,  -95.555923,    18235.434
  42,    4,   49.265528,  -95.403948,    18235.266
  43,    4,   49.265768,  -95.251971,    18235.072
  44,    4,   49.265897,  -95.099993,    18234.793
   1,    5,   49.259090, -101.637172,    18252.777
   2,    5,   49.263888, -101.485380,    18252.145
   3,    5,   49.268575, -101.333572,    18251.449
   4,    5,   49.273150, -101.181747,    18250.736
   5,    5,   49.277615, -101.029908,    18249.984
   6,    5,   49.281968, -100.878053,    18249.168
   7,    5,   49.286211, -100.726183,    18248.385
   8,    5,   49.290342, -100.574299,    18247.713
   9,    5,   49.294362, -100.422401,    18247.145
  10,    5,   49.298271, -100.270489,    18246.938
  11,    5,   49.302068, -100.118564,    18247.488
  12,    5,   49.305755,  -99.966626,    18246.969
  13,    5,   49.309330,  -99.814676,    18246.168
  14,    5,   49.312795,  -99.662713,    18245.682
  15,    5,   49.316148,  -99.510739,    18245.496
  16,    5,   49.319390,  -99.358754,    18244.842
  17,    5,   49.322521,  -99.206757,    18244.496
  18,    5,   49.325540,  -99.054750,    18244.232
  19,    5,   49.328449,  -98.902733,    18243.809
  20,    5,   49.331246,  -98.750706,    18243.217
  21,    5,   49.333932,  -98.598670,    18243.473
  22,    5,   49.336507,  -98.446624,    18242.529
  23,    5,   49.338971,  -98.294570,    18241.576
  24,    5,   49.341323,  -98.142507,    18240.977
  25,    5,   49.343565,  -97.990437,    18240.568
  26,    5,   49.345695,  -97.838359,    18240.160
  27,    5,   49.347714,  -97.686274,    18239.793
  28,    5,   49.349622,  -97.534182,    18239.369
  29,    5,   49.351419,  -97.382084,    18238.904
  30,    5,   49.353104,  -97.229980,    18238.480
  31,    5,   49.354678,  -97.077870,    18238.064
  32,    5,   49.356142,  -96.925755,    18237.682
  33,    5,   49.357493,  -96.773635,    18237.320
  34,    5,   49.358734,  -96.621511,    18237.010
  35,    5,   49.359864,  -96.469382,    18236.682
  36,    5,   49.360882,  -96.317250,    18236.385
  37,    5,   49.361789,  -96.165115,    18236.137
  38,    5,   49.362585,  -96.012976,    18235.938
  39,    5,   49.363270,  -95.860835,    18235.729
  40,    5,   49.363843,  -95.708692,    18235.568
  41,    5,   49.364306,  -95.556547,    18235.393
  42,    5,   49.364657,  -95.404401,    18235.209
  43,    5,   49.364897,  -95.252254,    18235.080
  44,    5,   49.365026,  -95.100106,    18234.912
   1,    6,   49.358106, -101.644617,    18253.105
   2,    6,   49.362905, -101.492655,    18252.537
   3,    6,   49.367593, -101.340677,    18251.865
