   X,    Y,    Latitude,   Longitude, VGRD_201906240000
   1,    1,   48.862147, -101.607558,       -1.321
   2,    1,   48.866940, -101.456441,       -1.431
   3,    1,   48.871623, -101.305308,       -1.521
   4,    1,   48.876194, -101.154159,       -1.581
   5,    1,   48.880654, -101.002995,       -1.611
   6,    1,   48.885004, -100.851816,       -1.641
   7,    1,   48.889242, -100.700623,       -1.661
   8,    1,   48.893369, -100.549415,       -1.671
   9,    1,   48.897386, -100.398194,       -1.661
  10,    1,   48.901291, -100.246959,       -1.681
  11,    1,   48.905085, -100.095711,       -1.681
  12,    1,   48.908768,  -99.944450,       -1.651
  13,    1,   48.912340,  -99.793177,       -1.551
  14,    1,   48.915801,  -99.641892,       -1.471
  15,    1,   48.919151,  -99.490596,       -1.361
  16,    1,   48.922390,  -99.339288,       -1.231
  17,    1,   48.925518,  -99.187970,       -1.091
  18,    1,   48.928535,  -99.036641,       -0.941
  19,    1,   48.931440,  -98.885302,       -0.791
  20,    1,   48.934235,  -98.733953,       -0.631
  21,    1,   48.936919,  -98.582595,       -0.461
  22,    1,   48.939491,  -98.431228,       -0.311
  23,    1,   48.941953,  -98.279852,       -0.191
  24,    1,   48.944303,  -98.128469,       -0.111
  25,    1,   48.946542,  -97.977077,       -0.081
  26,    1,   48.948670,  -97.825678,       -0.081
  27,    1,   48.950688,  -97.674272,       -0.081
  28,    1,   48.952594,  -97.522860,       -0.051
  29,    1,   48.954389,  -97.371441,       -0.001
  30,    1,   48.956073,  -97.220016,        0.049
  31,    1,   48.957645,  -97.068586,        0.109
  32,    1,   48.959107,  -96.917150,        0.189
  33,    1,   48.960458,  -96.765710,        0.279
  34,    1,   48.961697,  -96.614265,        0.379
  35,    1,   48.962826,  -96.462816,        0.459
  36,    1,   48.963843,  -96.311364,        0.509
  37,    1,   48.964749,  -96.159908,        0.579
  38,    1,   48.965545,  -96.008449,        0.669
  39,    1,   48.966229,  -95.856988,        0.789
  40,    1,   48.966802,  -95.705525,        0.899
  41,    1,   48.967264,  -95.554060,        1.019
  42,    1,   48.967615,  -95.402594,        0.949
  43,    1,   48.967854,  -95.251126,        0.729
  44,    1,   48.967983,  -95.099658,        0.419
   1,    2,   48.961514, -101.614937,       -1.031
   2,    2,   48.966308, -101.463652,       -1.141
   3,    2,   48.970992, -101.312350,       -1.241
   4,    2,   48.975564, -101.161033,       -1.301
   5,    2,   48.980026, -101.009701,       -1.331
   6,    2,   48.984376, -100.858354,       -1.351
   7,    2,   48.988615, -100.706992,       -1.381
   8,    2,   48.992744, -100.555615,       -1.471
   9,    2,   48.996761, -100.404225,       -1.631
  10,    2,   49.000667, -100.252822,       -1.771
  11,    2,   49.004462, -100.101405,       -1.851
  12,    2,   49.008146,  -99.949976,       -1.841
  13,    2,   49.011719,  -99.798534,       -1.761
  14,    2,   49.015181,  -99.647080,       -1.661
  15,    2,   49.018532,  -99.495615,       -1.541
  16,    2,   49.021771,  -99.344138,       -1.401
  17,    2,   49.024900,  -99.192651,       -1.271
  18,    2,   49.027917,  -99.041153,       -1.131
  19,    2,   49.030824,  -98.889645,       -0.971
  20,    2,   49.033619,  -98.738127,       -0.801
  21,    2,   49.036303,  -98.586600,       -0.611
  22,    2,   49.038877,  -98.435064,       -0.441
  23,    2,   49.041339,  -98.283519,       -0.311
  24,    2,   49.043690,  -98.131967,       -0.231
  25,    2,   49.045929,  -97.980406,       -0.161
  26,    2,   49.048058,  -97.828838,       -0.111
  27,    2,   49.050076,  -97.677263,       -0.071
  28,    2,   49.051982,  -97.525681,       -0.021
  29,    2,   49.053778,  -97.374093,        0.049
  30,    2,   49.055462,  -97.222499,        0.119
  31,    2,   49.057035,  -97.070899,        0.189
  32,    2,   49.058497,  -96.919294,        0.259
  33,    2,   49.059848,  -96.767684,        0.359
  34,    2,   49.061088,  -96.616070,        0.459
  35,    2,   49.062217,  -96.464452,        0.539
  36,    2,   49.063234,  -96.312830,        0.619
  37,    2,   49.064141,  -96.161205,        0.739
  38,    2,   49.064936,  -96.009577,        0.869
  39,    2,   49.065621,  -95.857947,        0.989
  40,    2,   49.066194,  -95.706314,        1.099
  41,    2,   49.066656,  -95.554680,        1.259
  42,    2,   49.067007,  -95.403044,        1.329
  43,    2,   49.067247,  -95.251407,        1.299
  44,    2,   49.067375,  -95.099770,        1.149
   1,    3,   49.060793, -101.622332,       -0.711
   2,    3,   49.065589, -101.470878,       -0.821
   3,    3,   49.070274, -101.319408,       -0.921
   4,    3,   49.074847, -101.167923,       -0.981
   5,    3,   49.079310, -101.016421,       -1.011
   6,    3,   49.083661, -100.864905,       -1.031
   7,    3,   49.087902, -100.713374,       -1.051
   8,    3,   49.092031, -100.561829,       -1.161
   9,    3,   49.096049, -100.410270,       -1.361
  10,    3,   49.099956, -100.258698,       -1.551
  11,    3,   49.103752, -100.107112,       -1.671
  12,    3,   49.107437,  -99.955513,       -1.701
  13,    3,   49.111011,  -99.803902,       -1.641
  14,    3,   49.114473,  -99.652280,       -1.571
  15,    3,   49.117825,  -99.500645,       -1.471
