   X,    Y,    Latitude,   Longitude, HGT_201906111700
   1,    1,   48.862147, -101.607558,    16388.025
   2,    1,   48.866940, -101.456441,    16387.033
   3,    1,   48.871623, -101.305308,    16385.938
   4,    1,   48.876194, -101.154159,    16384.666
   5,    1,   48.880654, -101.002995,    16383.554
   6,    1,   48.885004, -100.851816,    16382.538
   7,    1,   48.889242, -100.700623,    16381.602
   8,    1,   48.893369, -100.549415,    16380.754
   9,    1,   48.897386, -100.398194,    16379.866
  10,    1,   48.901291, -100.246959,    16379.153
  11,    1,   48.905085, -100.095711,    16378.394
  12,    1,   48.908768,  -99.944450,    16377.569
  13,    1,   48.912340,  -99.793177,    16376.682
  14,    1,   48.915801,  -99.641892,    16375.810
  15,    1,   48.919151,  -99.490596,    16375.010
  16,    1,   48.922390,  -99.339288,    16374.306
  17,    1,   48.925518,  -99.187970,    16373.689
  18,    1,   48.928535,  -99.036641,    16372.842
  19,    1,   48.931440,  -98.885302,    16372.170
  20,    1,   48.934235,  -98.733953,    16371.434
  21,    1,   48.936919,  -98.582595,    16370.666
  22,    1,   48.939491,  -98.431228,    16369.922
  23,    1,   48.941953,  -98.279852,    16369.273
  24,    1,   48.944303,  -98.128469,    16368.706
  25,    1,   48.946542,  -97.977077,    16368.130
  26,    1,   48.948670,  -97.825678,    16367.538
  27,    1,   48.950688,  -97.674272,    16366.970
  28,    1,   48.952594,  -97.522860,    16366.450
  29,    1,   48.954389,  -97.371441,    16365.930
  30,    1,   48.956073,  -97.220016,    16365.450
  31,    1,   48.957645,  -97.068586,    16364.994
  32,    1,   48.959107,  -96.917150,    16364.546
  33,    1,   48.960458,  -96.765710,    16364.162
  34,    1,   48.961697,  -96.614265,    16363.770
  35,    1,   48.962826,  -96.462816,    16363.401
  36,    1,   48.963843,  -96.311364,    16363.082
  37,    1,   48.964749,  -96.159908,    16362.802
  38,    1,   48.965545,  -96.008449,    16362.529
  39,    1,   48.966229,  -95.856988,    16362.273
  40,    1,   48.966802,  -95.705525,    16362.065
  41,    1,   48.967264,  -95.554060,    16361.762
  42,    1,   48.967615,  -95.402594,    16361.569
  43,    1,   48.967854,  -95.251126,    16361.330
  44,    1,   48.967983,  -95.099658,    16361.138
   1,    2,   48.961514, -101.614937,    16387.570
   2,    2,   48.966308, -101.463652,    16386.617
   3,    2,   48.970992, -101.312350,    16385.643
   4,    2,   48.975564, -101.161033,    16384.354
   5,    2,   48.980026, -101.009701,    16383.202
   6,    2,   48.984376, -100.858354,    16382.146
   7,    2,   48.988615, -100.706992,    16381.170
   8,    2,   48.992744, -100.555615,    16380.282
   9,    2,   48.996761, -100.404225,    16379.401
  10,    2,   49.000667, -100.252822,    16378.602
  11,    2,   49.004462, -100.101405,    16377.882
  12,    2,   49.008146,  -99.949976,    16377.210
  13,    2,   49.011719,  -99.798534,    16376.298
  14,    2,   49.015181,  -99.647080,    16375.426
  15,    2,   49.018532,  -99.495615,    16374.689
  16,    2,   49.021771,  -99.344138,    16374.018
  17,    2,   49.024900,  -99.192651,    16373.178
  18,    2,   49.027917,  -99.041153,    16372.330
  19,    2,   49.030824,  -98.889645,    16371.649
  20,    2,   49.033619,  -98.738127,    16371.025
  21,    2,   49.036303,  -98.586600,    16370.401
  22,    2,   49.038877,  -98.435064,    16369.674
  23,    2,   49.041339,  -98.283519,    16369.074
  24,    2,   49.043690,  -98.131967,    16368.602
  25,    2,   49.045929,  -97.980406,    16368.058
  26,    2,   49.048058,  -97.828838,    16367.258
  27,    2,   49.050076,  -97.677263,    16366.770
  28,    2,   49.051982,  -97.525681,    16366.298
  29,    2,   49.053778,  -97.374093,    16365.770
  30,    2,   49.055462,  -97.222499,    16365.146
  31,    2,   49.057035,  -97.070899,    16364.642
  32,    2,   49.058497,  -96.919294,    16364.242
  33,    2,   49.059848,  -96.767684,    16363.834
  34,    2,   49.061088,  -96.616070,    16363.450
  35,    2,   49.062217,  -96.464452,    16363.114
  36,    2,   49.063234,  -96.312830,    16362.729
  37,    2,   49.064141,  -96.161205,    16362.498
  38,    2,   49.064936,  -96.009577,    16362.233
  39,    2,   49.065621,  -95.857947,    16362.122
  40,    2,   49.066194,  -95.706314,    16362.458
  41,    2,   49.066656,  -95.554680,    16362.290
  42,    2,   49.067007,  -95.403044,    16361.746
  43,    2,   49.067247,  -95.251407,    16361.313
  44,    2,   49.067375,  -95.099770,    16360.938
   1,    3,   49.060793, -101.622332,    16387.098
   2,    3,   49.065589, -101.470878,    16386.201
   3,    3,   49.070274, -101.319408,    16385.234
   4,    3,   49.074847, -101.167923,    16384.025
   5,    3,   49.079310, -101.016421,    16382.857
   6,    3,   49.083661, -100.864905,    16381.777
   7,    3,   49.087902, -100.713374,    16380.802
   8,    3,   49.092031, -100.561829,    16379.890
   9,    3,   49.096049, -100.410270,    16379.002
  10,    3,   49.099956, -100.258698,    16378.186
  11,    3,   49.103752, -100.107112,    16377.490
  12,    3,   49.107437,  -99.955513,    16376.866
  13,    3,   49.111011,  -99.803902,    16375.938
  14,    3,   49.114473,  -99.652280,    16375.138
  15,    3,   49.117825,  -99.500645,    16374.506
  16,    3,   49.121065,  -99.348999,    16373.890
  17,    3,   49.124195,  -99.197342,    16372.802
  18,    3,   49.127213,  -99.045675,    16371.914
  19,    3,   49.130120,  -98.893998,    16371.258
  20,    3,   49.132916,  -98.742311,    16370.794
  21,    3,   49.135601,  -98.590614,    16370.450
  22,    3,   49.138175,  -98.438909,    16369.706
  23,    3,   49.140637,  -98.287195,    16368.970
  24,    3,   49.142989,  -98.135472,    16368.354
  25,    3,   49.145229,  -97.983742,    16367.890
  26,    3,   49.147358,  -97.832005,    16367.386
  27,    3,   49.149376,  -97.680260,    16366.922
  28,    3,   49.151283,  -97.528508,    16366.498
  29,    3,   49.153079,  -97.376750,    16366.034
  30,    3,   49.154764,  -97.224987,    16365.346
  31,    3,   49.156338,  -97.073217,    16364.626
  32,    3,   49.157800,  -96.921443,    16364.018
  33,    3,   49.159151,  -96.769663,    16363.546
  34,    3,   49.160391,  -96.617880,    16363.193
  35,    3,   49.161520,  -96.466092,    16362.810
  36,    3,   49.162538,  -96.314300,    16362.474
  37,    3,   49.163445,  -96.162505,    16362.202
  38,    3,   49.164241,  -96.010708,    16361.954
  39,    3,   49.164925,  -95.858907,    16361.770
  40,    3,   49.165498,  -95.707105,    16361.682
  41,    3,   49.165960,  -95.555301,    16362.122
  42,    3,   49.166311,  -95.403495,    16362.218
  43,    3,   49.166551,  -95.251689,    16361.609
  44,    3,   49.166680,  -95.099881,    16360.706
   1,    4,   49.159986, -101.629744,    16386.713
   2,    4,   49.164782, -101.478121,    16385.803
   3,    4,   49.169468, -101.326482,    16384.793
   4,    4,   49.174043, -101.174827,    16383.642
   5,    4,   49.178506, -101.023157,    16382.498
   6,    4,   49.182859, -100.871472,    16381.394
   7,    4,   49.187100, -100.719771,    16380.410
   8,    4,   49.191230, -100.568057,    16379.481
   9,    4,   49.195249, -100.416329,    16378.594
  10,    4,   49.199157, -100.264587,    16377.842
  11,    4,   49.202954, -100.112832,    16377.322
  12,    4,   49.206640,  -99.961064,    16376.649
  13,    4,   49.210215,  -99.809283,    16375.649
  14,    4,   49.213678,  -99.657491,    16374.978
  15,    4,   49.217030,  -99.505687,    16374.578
  16,    4,   49.220272,  -99.353871,    16373.834
  17,    4,   49.223402,  -99.202045,    16372.634
  18,    4,   49.226421,  -99.050208,    16371.866
  19,    4,   49.229328,  -98.898361,    16371.370
  20,    4,   49.232125,  -98.746504,    16370.954
  21,    4,   49.234810,  -98.594637,    16370.746
  22,    4,   49.237385,  -98.442762,    16369.706
  23,    4,   49.239848,  -98.290878,    16368.602
  24,    4,   49.242200,  -98.138986,    16367.706
  25,    4,   49.244441,  -97.987086,    16367.114
  26,    4,   49.246571,  -97.835178,    16366.490
  27,    4,   49.248589,  -97.683264,    16366.065
  28,    4,   49.250497,  -97.531342,    16366.025
  29,    4,   49.252293,  -97.379414,    16365.945
  30,    4,   49.253978,  -97.227480,    16365.313
  31,    4,   49.255552,  -97.075541,    16364.354
  32,    4,   49.257015,  -96.923596,    16363.706
  33,    4,   49.258366,  -96.771647,    16363.258
  34,    4,   49.259607,  -96.619693,    16362.882
  35,    4,   49.260736,  -96.467735,    16362.586
  36,    4,   49.261754,  -96.315774,    16362.233
  37,    4,   49.262661,  -96.163809,    16361.930
