   X,    Y,    Latitude,   Longitude, HPBL_201907120000
   1,    1,   48.862147, -101.607558,     1566.240
   2,    1,   48.866940, -101.456441,     1566.240
   3,    1,   48.871623, -101.305308,     1569.120
   4,    1,   48.876194, -101.154159,     1772.800
   5,    1,   48.880654, -101.002995,     1772.640
   6,    1,   48.885004, -100.851816,     1772.640
   7,    1,   48.889242, -100.700623,     1565.760
   8,    1,   48.893369, -100.549415,     1554.880
   9,    1,   48.897386, -100.398194,      882.400
  10,    1,   48.901291, -100.246959,     1367.520
  11,    1,   48.905085, -100.095711,     1367.520
  12,    1,   48.908768,  -99.944450,     1218.080
  13,    1,   48.912340,  -99.793177,     1369.120
  14,    1,   48.915801,  -99.641892,     1376.960
  15,    1,   48.919151,  -99.490596,     1383.200
  16,    1,   48.922390,  -99.339288,     1383.200
  17,    1,   48.925518,  -99.187970,     1385.760
  18,    1,   48.928535,  -99.036641,     1385.280
  19,    1,   48.931440,  -98.885302,     1384.000
  20,    1,   48.934235,  -98.733953,     1384.000
  21,    1,   48.936919,  -98.582595,     1382.880
  22,    1,   48.939491,  -98.431228,     1557.600
  23,    1,   48.941953,  -98.279852,     1561.760
  24,    1,   48.944303,  -98.128469,     1571.360
  25,    1,   48.946542,  -97.977077,     1571.360
  26,    1,   48.948670,  -97.825678,     1785.760
  27,    1,   48.950688,  -97.674272,     1792.640
  28,    1,   48.952594,  -97.522860,     1794.560
  29,    1,   48.954389,  -97.371441,     1793.600
  30,    1,   48.956073,  -97.220016,     1793.440
  31,    1,   48.957645,  -97.068586,     1789.920
  32,    1,   48.959107,  -96.917150,     2015.680
  33,    1,   48.960458,  -96.765710,     1575.200
  34,    1,   48.961697,  -96.614265,     1575.200
  35,    1,   48.962826,  -96.462816,     1571.520
  36,    1,   48.963843,  -96.311364,     1569.440
  37,    1,   48.964749,  -96.159908,     1106.400
  38,    1,   48.965545,  -96.008449,     1563.680
  39,    1,   48.966229,  -95.856988,     1563.680
  40,    1,   48.966802,  -95.705525,     1764.960
  41,    1,   48.967264,  -95.554060,     1104.000
  42,    1,   48.967615,  -95.402594,     1561.440
  43,    1,   48.967854,  -95.251126,     1561.440
  44,    1,   48.967983,  -95.099658,     1385.600
   1,    2,   48.961514, -101.614937,     2524.160
   2,    2,   48.966308, -101.463652,     1767.200
   3,    2,   48.970992, -101.312350,     1770.240
   4,    2,   48.975564, -101.161033,     1772.800
   5,    2,   48.980026, -101.009701,     1771.200
   6,    2,   48.984376, -100.858354,     1771.200
   7,    2,   48.988615, -100.706992,     1562.240
   8,    2,   48.992744, -100.555615,      804.320
   9,    2,   48.996761, -100.404225,     1535.840
  10,    2,   49.000667, -100.252822,     1533.120
  11,    2,   49.004462, -100.101405,     1533.120
  12,    2,   49.008146,  -99.949976,     1362.720
  13,    2,   49.011719,  -99.798534,     1369.120
  14,    2,   49.015181,  -99.647080,     1381.120
  15,    2,   49.018532,  -99.495615,     1381.120
  16,    2,   49.021771,  -99.344138,     1385.600
  17,    2,   49.024900,  -99.192651,     1386.880
  18,    2,   49.027917,  -99.041153,     1559.680
  19,    2,   49.030824,  -98.889645,     1558.400
  20,    2,   49.033619,  -98.738127,     1558.400
  21,    2,   49.036303,  -98.586600,     1557.440
  22,    2,   49.038877,  -98.435064,     1559.520
  23,    2,   49.041339,  -98.283519,     1566.560
  24,    2,   49.043690,  -98.131967,     1566.560
  25,    2,   49.045929,  -97.980406,     1781.120
  26,    2,   49.048058,  -97.828838,     2022.720
  27,    2,   49.050076,  -97.677263,     1795.040
  28,    2,   49.051982,  -97.525681,     2027.200
  29,    2,   49.053778,  -97.374093,     2027.200
  30,    2,   49.055462,  -97.222499,     1792.960
  31,    2,   49.057035,  -97.070899,     1253.280
  32,    2,   49.058497,  -96.919294,     1783.200
  33,    2,   49.059848,  -96.767684,     1574.400
  34,    2,   49.061088,  -96.616070,     1574.400
  35,    2,   49.062217,  -96.464452,     1570.880
  36,    2,   49.063234,  -96.312830,     1568.000
  37,    2,   49.064141,  -96.161205,     1106.400
  38,    2,   49.064936,  -96.009577,     1562.080
  39,    2,   49.065621,  -95.857947,     1761.920
  40,    2,   49.066194,  -95.706314,     1762.240
  41,    2,   49.066656,  -95.554680,     1560.960
  42,    2,   49.067007,  -95.403044,     1763.200
  43,    2,   49.067247,  -95.251407,     1763.200
  44,    2,   49.067375,  -95.099770,     1385.600
   1,    3,   49.060793, -101.622332,     2834.240
   2,    3,   49.065589, -101.470878,     1993.120
   3,    3,   49.070274, -101.319408,     1769.920
   4,    3,   49.074847, -101.167923,     1772.320
   5,    3,   49.079310, -101.016421,     1570.560
   6,    3,   49.083661, -100.864905,     1770.240
   7,    3,   49.087902, -100.713374,     1562.080
   8,    3,   49.092031, -100.561829,     1550.400
   9,    3,   49.096049, -100.410270,     1737.920
  10,    3,   49.099956, -100.258698,     1737.920
  11,    3,   49.103752, -100.107112,     1733.600
  12,    3,   49.107437,  -99.955513,     1736.960
  13,    3,   49.111011,  -99.803902,     1546.400
  14,    3,   49.114473,  -99.652280,     1381.120
  15,    3,   49.117825,  -99.500645,     1385.600
  16,    3,   49.121065,  -99.348999,     1387.840
  17,    3,   49.124195,  -99.197342,     1388.000
  18,    3,   49.127213,  -99.045675,     1560.800
  19,    3,   49.130120,  -98.893998,     1560.800
  20,    3,   49.132916,  -98.742311,     1759.840
  21,    3,   49.135601,  -98.590614,     1557.920
  22,    3,   49.138175,  -98.438909,     1559.520
  23,    3,   49.140637,  -98.287195,     1774.400
  24,    3,   49.142989,  -98.135472,     1774.400
  25,    3,   49.145229,  -97.983742,     1787.360
  26,    3,   49.147358,  -97.832005,     2026.560
  27,    3,   49.149376,  -97.680260,     1795.840
  28,    3,   49.151283,  -97.528508,     1590.080
  29,    3,   49.153079,  -97.376750,     1590.080
  30,    3,   49.154764,  -97.224987,     1792.960
  31,    3,   49.156338,  -97.073217,     1788.160
  32,    3,   49.157800,  -96.921443,     1782.560
  33,    3,   49.159151,  -96.769663,     1782.560
  34,    3,   49.160391,  -96.617880,     1777.440
  35,    3,   49.161520,  -96.466092,     1772.800
  36,    3,   49.162538,  -96.314300,     1565.760
  37,    3,   49.163445,  -96.162505,     1562.080
  38,    3,   49.164241,  -96.010708,     1562.080
  39,    3,   49.164925,  -95.858907,     1759.840
  40,    3,   49.165498,  -95.707105,     1760.320
  41,    3,   49.165960,  -95.555301,     1760.960
  42,    3,   49.166311,  -95.403495,     1760.960
  43,    3,   49.166551,  -95.251689,     1761.600
  44,    3,   49.166680,  -95.099881,     1383.840
   1,    4,   49.159986, -101.629744,     2832.000
   2,    4,   49.164782, -101.478121,     2527.840
   3,    4,   49.169468, -101.326482,     1769.280
   4,    4,   49.174043, -101.174827,     1570.560
   5,    4,   49.178506, -101.023157,     1570.560
   6,    4,   49.182859, -100.871472,     1770.080
   7,    4,   49.187100, -100.719771,     1564.640
   8,    4,   49.191230, -100.568057,      989.920
   9,    4,   49.195249, -100.416329,     1551.680
  10,    4,   49.199157, -100.264587,     1551.680
  11,    4,   49.202954, -100.112832,     1549.280
  12,    4,   49.206640,  -99.961064,     1550.720
  13,    4,   49.210215,  -99.809283,     1754.400
  14,    4,   49.213678,  -99.657491,     1754.400
  15,    4,   49.217030,  -99.505687,     1562.720
  16,    4,   49.220272,  -99.353871,     1389.760
  17,    4,   49.223402,  -99.202045,     1389.600
  18,    4,   49.226421,  -99.050208,     1387.840
  19,    4,   49.229328,  -98.898361,     1387.840
  20,    4,   49.232125,  -98.746504,     1558.720
  21,    4,   49.234810,  -98.594637,     1557.120
  22,    4,   49.237385,  -98.442762,     1762.240
  23,    4,   49.239848,  -98.290878,     1774.400
  24,    4,   49.242200,  -98.138986,     1780.640
  25,    4,   49.244441,  -97.987086,     1792.000
  26,    4,   49.246571,  -97.835178,     1590.560
  27,    4,   49.248589,  -97.683264,     1590.400
  28,    4,   49.250497,  -97.531342,     1590.400
  29,    4,   49.252293,  -97.379414,     1589.280
  30,    4,   49.253978,  -97.227480,     1792.320
  31,    4,   49.255552,  -97.075541,     1788.160
  32,    4,   49.257015,  -96.923596,     1578.880
  33,    4,   49.258366,  -96.771647,     1578.880
  34,    4,   49.259607,  -96.619693,     2007.360
  35,    4,   49.260736,  -96.467735,     1771.360
  36,    4,   49.261754,  -96.315774,     1765.440
  37,    4,   49.262661,  -96.163809,     1765.440
  38,    4,   49.263457,  -96.011841,     1761.280
  39,    4,   49.264142,  -95.859870,     1760.960
  40,    4,   49.264715,  -95.707898,     1760.640
  41,    4,   49.265177,  -95.555923,     1760.000
  42,    4,   49.265528,  -95.403948,     1760.000
  43,    4,   49.265768,  -95.251971,     1760.000
  44,    4,   49.265897,  -95.099993,     1557.600
   1,    5,   49.259090, -101.637172,     3162.560
   2,    5,   49.263888, -101.485380,     2834.240
   3,    5,   49.268575, -101.333572,     2248.000
   4,    5,   49.273150, -101.181747,     1770.720
   5,    5,   49.277615, -101.029908,     1770.720
   6,    5,   49.281968, -100.878053,     1770.080
   7,    5,   49.286211, -100.726183,     1393.600
   8,    5,   49.290342, -100.574299,     1389.920
   9,    5,   49.294362, -100.422401,     1389.920
  10,    5,   49.298271, -100.270489,     1760.000
  11,    5,   49.302068, -100.118564,     1758.240
  12,    5,   49.305755,  -99.966626,     1984.640
  13,    5,   49.309330,  -99.814676,     1760.800
  14,    5,   49.312795,  -99.662713,     1760.800
  15,    5,   49.316148,  -99.510739,     1562.720
  16,    5,   49.319390,  -99.358754,     1567.200
  17,    5,   49.322521,  -99.206757,     1391.840
  18,    5,   49.325540,  -99.054750,     1391.840
  19,    5,   49.328449,  -98.902733,     1104.000
  20,    5,   49.331246,  -98.750706,     1557.440
  21,    5,   49.333932,  -98.598670,     1556.800
  22,    5,   49.336507,  -98.446624,     1766.400
  23,    5,   49.338971,  -98.294570,     1766.400
  24,    5,   49.341323,  -98.142507,     1780.640
  25,    5,   49.343565,  -97.990437,     1589.120
  26,    5,   49.345695,  -97.838359,     1795.200
  27,    5,   49.347714,  -97.686274,      257.600
  28,    5,   49.349622,  -97.534182,      257.600
  29,    5,   49.351419,  -97.382084,      505.760
  30,    5,   49.353104,  -97.229980,      451.840
  31,    5,   49.354678,  -97.077870,     1583.680
  32,    5,   49.356142,  -96.925755,     1584.000
  33,    5,   49.357493,  -96.773635,     1579.520
  34,    5,   49.358734,  -96.621511,     2007.520
  35,    5,   49.359864,  -96.469382,     2000.000
  36,    5,   49.360882,  -96.317250,     1993.280
  37,    5,   49.361789,  -96.165115,     1993.280
  38,    5,   49.362585,  -96.012976,     1761.600
  39,    5,   49.363270,  -95.860835,     1760.960
  40,    5,   49.363843,  -95.708692,     1990.560
  41,    5,   49.364306,  -95.556547,     1990.560
  42,    5,   49.364657,  -95.404401,     1760.640
  43,    5,   49.364897,  -95.252254,     1760.160
  44,    5,   49.365026,  -95.100106,     1382.880
   1,    6,   49.358106, -101.644617,     3507.680
   2,    6,   49.362905, -101.492655,     3164.480
   3,    6,   49.367593, -101.340677,     2838.880
   4,    6,   49.372169, -101.188683,     2838.880
   5,    6,   49.376635, -101.036673,     1770.400
   6,    6,   49.380990, -100.884648,     1771.040
   7,    6,   49.385233, -100.732609,     1393.600
   8,    6,   49.389365, -100.580555,      996.000
   9,    6,   49.393386, -100.428486,      996.000
  10,    6,   49.397296, -100.276405,     1764.320
  11,    6,   49.401094, -100.124309,     1762.720
  12,    6,   49.404782,  -99.972201,     1763.040
  13,    6,   49.408358,  -99.820081,     1763.040
  14,    6,   49.411823,  -99.667948,     1764.960
  15,    6,   49.415177,  -99.515803,     1566.080
  16,    6,   49.418420,  -99.363648,     1567.200
  17,    6,   49.421551,  -99.211481,     1395.520
  18,    6,   49.424571,  -99.059303,     1395.520
  19,    6,   49.427481,  -98.907116,     1390.080
  20,    6,   49.430279,  -98.754918,     1385.280
  21,    6,   49.432965,  -98.602711,     1761.280
  22,    6,   49.435541,  -98.450495,     1395.680
  23,    6,   49.438005,  -98.298270,     1395.680
  24,    6,   49.440358,  -98.146037,     1786.240
  25,    6,   49.442600,  -97.993796,      351.520
  26,    6,   49.444731,  -97.841547,      401.280
  27,    6,   49.446750,  -97.689291,      401.280
  28,    6,   49.448659,  -97.537029,      351.680
  29,    6,   49.450456,  -97.384760,      562.400
  30,    6,   49.452142,  -97.232485,      452.000
  31,    6,   49.453716,  -97.080204,     1584.000
  32,    6,   49.455180,  -96.927918,     1584.000
  33,    6,   49.456532,  -96.775628,     2014.880
  34,    6,   49.457773,  -96.623332,     2008.320
  35,    6,   49.458903,  -96.471033,     2000.960
  36,    6,   49.459921,  -96.318730,     2000.960
  37,    6,   49.460829,  -96.166424,     1995.360
  38,    6,   49.461625,  -96.014114,     1764.480
  39,    6,   49.462310,  -95.861802,     1763.680
  40,    6,   49.462883,  -95.709488,     1990.560
  41,    6,   49.463346,  -95.557173,     1992.320
  42,    6,   49.463697,  -95.404855,     1761.920
  43,    6,   49.463937,  -95.252537,     1760.960
  44,    6,   49.464066,  -95.100218,     1383.360
   1,    7,   49.457033, -101.652079,     3496.160
   2,    7,   49.461833, -101.499947,     3511.840
   3,    7,   49.466522, -101.347799,     2835.680
   4,    7,   49.471100, -101.195634,     2835.680
   5,    7,   49.475567, -101.043454,     1996.480
   6,    7,   49.479922, -100.891259,     1771.680
   7,    7,   49.484166, -100.739049,     1395.520
   8,    7,   49.488300, -100.586824,     1395.520
   9,    7,   49.492321, -100.434586,     1109.920
  10,    7,   49.496232, -100.282333,     1566.080
  11,    7,   49.500032, -100.130068,     1565.120
  12,    7,   49.503720,  -99.977789,     1566.080
  13,    7,   49.507297,  -99.825498,     1566.080
  14,    7,   49.510763,  -99.673194,     1568.640
  15,    7,   49.514117,  -99.520879,     1396.640
  16,    7,   49.517361,  -99.368552,     1572.480
  17,    7,   49.520493,  -99.216215,     1395.520
  18,    7,   49.523514,  -99.063866,      743.360
  19,    7,   49.526424,  -98.911508,      995.840
  20,    7,   49.529222,  -98.759139,     1390.720
  21,    7,   49.531910,  -98.606761,     1769.920
  22,    7,   49.534486,  -98.454374,     1769.920
  23,    7,   49.536951,  -98.301978,     1401.280
  24,    7,   49.539304,  -98.149574,     1585.280
  25,    7,   49.541547,  -97.997162,      351.520
  26,    7,   49.543678,  -97.844742,     1589.440
  27,    7,   49.545698,  -97.692315,     1589.440
  28,    7,   49.547607,  -97.539882,     1588.960
  29,    7,   49.549404,  -97.387442,     1588.320
  30,    7,   49.551091,  -97.234995,     1587.040
  31,    7,   49.552666,  -97.082544,     1587.040
  32,    7,   49.554129,  -96.930086,     2019.520
  33,    7,   49.555482,  -96.777625,     2014.880
  34,    7,   49.556723,  -96.625158,     1779.360
  35,    7,   49.557853,  -96.472687,     2003.200
  36,    7,   49.558872,  -96.320213,     2003.200
  37,    7,   49.559780,  -96.167735,     1998.880
  38,    7,   49.560576,  -96.015255,     1996.480
  39,    7,   49.561261,  -95.862772,     1766.080
  40,    7,   49.561835,  -95.710286,     1766.080
  41,    7,   49.562297,  -95.557799,     1992.960
  42,    7,   49.562649,  -95.405311,     1990.240
  43,    7,   49.562889,  -95.252821,     1988.480
