   X,    Y,    Latitude,   Longitude, UGRD_201908060000
   1,    1,   48.862147, -101.607558,        6.570
   2,    1,   48.866940, -101.456441,        6.445
   3,    1,   48.871623, -101.305308,        6.070
   4,    1,   48.876194, -101.154159,        5.758
   5,    1,   48.880654, -101.002995,        5.695
   6,    1,   48.885004, -100.851816,        5.695
   7,    1,   48.889242, -100.700623,        5.820
   8,    1,   48.893369, -100.549415,        5.883
   9,    1,   48.897386, -100.398194,        5.883
  10,    1,   48.901291, -100.246959,        5.820
  11,    1,   48.905085, -100.095711,        5.695
  12,    1,   48.908768,  -99.944450,        5.570
  13,    1,   48.912340,  -99.793177,        5.445
  14,    1,   48.915801,  -99.641892,        5.320
  15,    1,   48.919151,  -99.490596,        5.258
  16,    1,   48.922390,  -99.339288,        5.320
  17,    1,   48.925518,  -99.187970,        5.320
  18,    1,   48.928535,  -99.036641,        5.320
  19,    1,   48.931440,  -98.885302,        5.320
  20,    1,   48.934235,  -98.733953,        5.320
  21,    1,   48.936919,  -98.582595,        5.195
  22,    1,   48.939491,  -98.431228,        4.945
  23,    1,   48.941953,  -98.279852,        4.945
  24,    1,   48.944303,  -98.128469,        4.758
  25,    1,   48.946542,  -97.977077,        4.508
  26,    1,   48.948670,  -97.825678,        4.445
  27,    1,   48.950688,  -97.674272,        4.320
  28,    1,   48.952594,  -97.522860,        4.320
  29,    1,   48.954389,  -97.371441,        4.195
  30,    1,   48.956073,  -97.220016,        4.070
  31,    1,   48.957645,  -97.068586,        4.320
  32,    1,   48.959107,  -96.917150,        4.820
  33,    1,   48.960458,  -96.765710,        5.445
  34,    1,   48.961697,  -96.614265,        6.008
  35,    1,   48.962826,  -96.462816,        6.508
  36,    1,   48.963843,  -96.311364,        6.883
  37,    1,   48.964749,  -96.159908,        7.133
  38,    1,   48.965545,  -96.008449,        7.195
  39,    1,   48.966229,  -95.856988,        7.070
  40,    1,   48.966802,  -95.705525,        6.883
  41,    1,   48.967264,  -95.554060,        6.883
  42,    1,   48.967615,  -95.402594,        6.508
  43,    1,   48.967854,  -95.251126,        4.320
  44,    1,   48.967983,  -95.099658,        2.195
   1,    2,   48.961514, -101.614937,        6.258
   2,    2,   48.966308, -101.463652,        6.070
   3,    2,   48.970992, -101.312350,        5.633
   4,    2,   48.975564, -101.161033,        5.508
   5,    2,   48.980026, -101.009701,        5.445
   6,    2,   48.984376, -100.858354,        5.445
   7,    2,   48.988615, -100.706992,        5.383
   8,    2,   48.992744, -100.555615,        5.445
   9,    2,   48.996761, -100.404225,        5.758
  10,    2,   49.000667, -100.252822,        5.883
  11,    2,   49.004462, -100.101405,        5.883
  12,    2,   49.008146,  -99.949976,        5.758
  13,    2,   49.011719,  -99.798534,        5.633
  14,    2,   49.015181,  -99.647080,        5.445
