   X,    Y,    Latitude,   Longitude, VGRD_201908240000
   1,    1,   48.862147, -101.607558,       -0.754
   2,    1,   48.866940, -101.456441,       -0.566
   3,    1,   48.871623, -101.305308,       -0.379
   4,    1,   48.876194, -101.154159,       -0.254
   5,    1,   48.880654, -101.002995,       -0.191
   6,    1,   48.885004, -100.851816,       -0.191
   7,    1,   48.889242, -100.700623,       -0.254
   8,    1,   48.893369, -100.549415,       -0.191
   9,    1,   48.897386, -100.398194,       -0.066
  10,    1,   48.901291, -100.246959,        0.059
  11,    1,   48.905085, -100.095711,        0.121
  12,    1,   48.908768,  -99.944450,        0.184
  13,    1,   48.912340,  -99.793177,        0.121
  14,    1,   48.915801,  -99.641892,        0.121
  15,    1,   48.919151,  -99.490596,        0.121
  16,    1,   48.922390,  -99.339288,        0.121
  17,    1,   48.925518,  -99.187970,        0.184
  18,    1,   48.928535,  -99.036641,        0.309
  19,    1,   48.931440,  -98.885302,        0.371
  20,    1,   48.934235,  -98.733953,        0.496
  21,    1,   48.936919,  -98.582595,        0.809
  22,    1,   48.939491,  -98.431228,        1.246
  23,    1,   48.941953,  -98.279852,        1.809
  24,    1,   48.944303,  -98.128469,        2.746
  25,    1,   48.946542,  -97.977077,        3.809
  26,    1,   48.948670,  -97.825678,        4.684
  27,    1,   48.950688,  -97.674272,        5.184
  28,    1,   48.952594,  -97.522860,        5.496
  29,    1,   48.954389,  -97.371441,        5.996
  30,    1,   48.956073,  -97.220016,        6.684
  31,    1,   48.957645,  -97.068586,        7.434
  32,    1,   48.959107,  -96.917150,        8.496
  33,    1,   48.960458,  -96.765710,        9.309
  34,    1,   48.961697,  -96.614265,        9.996
  35,    1,   48.962826,  -96.462816,       10.559
  36,    1,   48.963843,  -96.311364,       10.934
  37,    1,   48.964749,  -96.159908,       11.309
  38,    1,   48.965545,  -96.008449,       11.434
  39,    1,   48.966229,  -95.856988,       11.684
  40,    1,   48.966802,  -95.705525,       12.184
  41,    1,   48.967264,  -95.554060,       11.996
  42,    1,   48.967615,  -95.402594,       10.309
  43,    1,   48.967854,  -95.251126,        7.934
  44,    1,   48.967983,  -95.099658,        5.559
   1,    2,   48.961514, -101.614937,       -0.754
   2,    2,   48.966308, -101.463652,       -0.441
   3,    2,   48.970992, -101.312350,       -0.254
   4,    2,   48.975564, -101.161033,       -0.129
   5,    2,   48.980026, -101.009701,       -0.129
   6,    2,   48.984376, -100.858354,       -0.129
   7,    2,   48.988615, -100.706992,       -0.129
   8,    2,   48.992744, -100.555615,       -0.129
   9,    2,   48.996761, -100.404225,       -0.004
  10,    2,   49.000667, -100.252822,       -0.066
  11,    2,   49.004462, -100.101405,       -0.066
  12,    2,   49.008146,  -99.949976,       -0.066
  13,    2,   49.011719,  -99.798534,       -0.066
  14,    2,   49.015181,  -99.647080,       -0.066
  15,    2,   49.018532,  -99.495615,       -0.004
  16,    2,   49.021771,  -99.344138,        0.059
  17,    2,   49.024900,  -99.192651,        0.184
  18,    2,   49.027917,  -99.041153,        0.309
  19,    2,   49.030824,  -98.889645,        0.434
  20,    2,   49.033619,  -98.738127,        0.559
  21,    2,   49.036303,  -98.586600,        0.809
  22,    2,   49.038877,  -98.435064,        1.246
  23,    2,   49.041339,  -98.283519,        1.809
  24,    2,   49.043690,  -98.131967,        2.621
  25,    2,   49.045929,  -97.980406,        3.559
  26,    2,   49.048058,  -97.828838,        4.371
  27,    2,   49.050076,  -97.677263,        4.934
  28,    2,   49.051982,  -97.525681,        5.246
  29,    2,   49.053778,  -97.374093,        5.621
  30,    2,   49.055462,  -97.222499,        6.121
  31,    2,   49.057035,  -97.070899,        6.934
  32,    2,   49.058497,  -96.919294,        7.809
  33,    2,   49.059848,  -96.767684,        8.621
  34,    2,   49.061088,  -96.616070,        9.371
  35,    2,   49.062217,  -96.464452,       10.059
  36,    2,   49.063234,  -96.312830,       10.559
  37,    2,   49.064141,  -96.161205,       10.934
  38,    2,   49.064936,  -96.009577,       11.184
  39,    2,   49.065621,  -95.857947,       11.496
  40,    2,   49.066194,  -95.706314,       11.996
