   X,    Y,    Latitude,   Longitude, UGRD_201907130000
   1,    1,   48.862147, -101.607558,       -1.390
   2,    1,   48.866940, -101.456441,       -1.270
   3,    1,   48.871623, -101.305308,       -1.120
   4,    1,   48.876194, -101.154159,       -0.960
   5,    1,   48.880654, -101.002995,       -0.750
   6,    1,   48.885004, -100.851816,       -0.480
   7,    1,   48.889242, -100.700623,       -0.160
   8,    1,   48.893369, -100.549415,        0.180
   9,    1,   48.897386, -100.398194,        0.440
  10,    1,   48.901291, -100.246959,        0.640
  11,    1,   48.905085, -100.095711,        0.780
  12,    1,   48.908768,  -99.944450,        0.850
  13,    1,   48.912340,  -99.793177,        0.850
  14,    1,   48.915801,  -99.641892,        0.870
  15,    1,   48.919151,  -99.490596,        0.940
  16,    1,   48.922390,  -99.339288,        1.070
  17,    1,   48.925518,  -99.187970,        1.240
  18,    1,   48.928535,  -99.036641,        1.410
  19,    1,   48.931440,  -98.885302,        1.580
  20,    1,   48.934235,  -98.733953,        1.730
  21,    1,   48.936919,  -98.582595,        1.830
  22,    1,   48.939491,  -98.431228,        1.850
  23,    1,   48.941953,  -98.279852,        1.720
  24,    1,   48.944303,  -98.128469,        1.570
  25,    1,   48.946542,  -97.977077,        1.530
  26,    1,   48.948670,  -97.825678,        1.620
  27,    1,   48.950688,  -97.674272,        1.810
  28,    1,   48.952594,  -97.522860,        1.960
  29,    1,   48.954389,  -97.371441,        2.070
  30,    1,   48.956073,  -97.220016,        2.170
  31,    1,   48.957645,  -97.068586,        2.280
  32,    1,   48.959107,  -96.917150,        2.410
  33,    1,   48.960458,  -96.765710,        2.510
  34,    1,   48.961697,  -96.614265,        2.570
  35,    1,   48.962826,  -96.462816,        2.610
  36,    1,   48.963843,  -96.311364,        2.620
  37,    1,   48.964749,  -96.159908,        2.560
  38,    1,   48.965545,  -96.008449,        2.490
  39,    1,   48.966229,  -95.856988,        2.410
  40,    1,   48.966802,  -95.705525,        2.330
  41,    1,   48.967264,  -95.554060,        2.210
  42,    1,   48.967615,  -95.402594,        1.920
  43,    1,   48.967854,  -95.251126,        1.590
  44,    1,   48.967983,  -95.099658,        1.300
   1,    2,   48.961514, -101.614937,       -1.270
   2,    2,   48.966308, -101.463652,       -1.130
   3,    2,   48.970992, -101.312350,       -0.980
   4,    2,   48.975564, -101.161033,       -0.790
   5,    2,   48.980026, -101.009701,       -0.550
   6,    2,   48.984376, -100.858354,       -0.260
   7,    2,   48.988615, -100.706992,        0.080
   8,    2,   48.992744, -100.555615,        0.380
   9,    2,   48.996761, -100.404225,        0.590
  10,    2,   49.000667, -100.252822,        0.720
  11,    2,   49.004462, -100.101405,        0.790
  12,    2,   49.008146,  -99.949976,        0.790
  13,    2,   49.011719,  -99.798534,        0.740
  14,    2,   49.015181,  -99.647080,        0.750
  15,    2,   49.018532,  -99.495615,        0.830
  16,    2,   49.021771,  -99.344138,        0.980
  17,    2,   49.024900,  -99.192651,        1.180
  18,    2,   49.027917,  -99.041153,        1.390
  19,    2,   49.030824,  -98.889645,        1.580
  20,    2,   49.033619,  -98.738127,        1.750
  21,    2,   49.036303,  -98.586600,        1.850
  22,    2,   49.038877,  -98.435064,        1.820
