   X,    Y,    Latitude,   Longitude, VGRD_201907171900
   1,    1,   48.862147, -101.607558,       -0.016
   2,    1,   48.866940, -101.456441,        0.134
   3,    1,   48.871623, -101.305308,        0.354
   4,    1,   48.876194, -101.154159,        0.634
   5,    1,   48.880654, -101.002995,        0.904
   6,    1,   48.885004, -100.851816,        1.134
   7,    1,   48.889242, -100.700623,        1.314
   8,    1,   48.893369, -100.549415,        1.484
   9,    1,   48.897386, -100.398194,        1.754
  10,    1,   48.901291, -100.246959,        2.104
  11,    1,   48.905085, -100.095711,        2.434
  12,    1,   48.908768,  -99.944450,        2.664
  13,    1,   48.912340,  -99.793177,        2.734
  14,    1,   48.915801,  -99.641892,        2.624
  15,    1,   48.919151,  -99.490596,        2.564
  16,    1,   48.922390,  -99.339288,        2.674
  17,    1,   48.925518,  -99.187970,        3.084
  18,    1,   48.928535,  -99.036641,        3.634
  19,    1,   48.931440,  -98.885302,        3.904
  20,    1,   48.934235,  -98.733953,        3.974
  21,    1,   48.936919,  -98.582595,        3.884
  22,    1,   48.939491,  -98.431228,        3.704
  23,    1,   48.941953,  -98.279852,        3.484
  24,    1,   48.944303,  -98.128469,        3.274
  25,    1,   48.946542,  -97.977077,        3.084
  26,    1,   48.948670,  -97.825678,        2.934
  27,    1,   48.950688,  -97.674272,        2.814
  28,    1,   48.952594,  -97.522860,        2.774
  29,    1,   48.954389,  -97.371441,        2.814
  30,    1,   48.956073,  -97.220016,        2.884
  31,    1,   48.957645,  -97.068586,        2.954
  32,    1,   48.959107,  -96.917150,        2.924
  33,    1,   48.960458,  -96.765710,        2.784
  34,    1,   48.961697,  -96.614265,        2.654
  35,    1,   48.962826,  -96.462816,        2.544
  36,    1,   48.963843,  -96.311364,        2.424
  37,    1,   48.964749,  -96.159908,        2.244
  38,    1,   48.965545,  -96.008449,        2.074
  39,    1,   48.966229,  -95.856988,        1.924
  40,    1,   48.966802,  -95.705525,        1.764
  41,    1,   48.967264,  -95.554060,        1.464
  42,    1,   48.967615,  -95.402594,        1.124
  43,    1,   48.967854,  -95.251126,        1.114
  44,    1,   48.967983,  -95.099658,        1.324
   1,    2,   48.961514, -101.614937,        0.144
   2,    2,   48.966308, -101.463652,        0.294
   3,    2,   48.970992, -101.312350,        0.524
   4,    2,   48.975564, -101.161033,        0.824
   5,    2,   48.980026, -101.009701,        1.104
   6,    2,   48.984376, -100.858354,        1.344
   7,    2,   48.988615, -100.706992,        1.524
   8,    2,   48.992744, -100.555615,        1.614
   9,    2,   48.996761, -100.404225,        1.794
  10,    2,   49.000667, -100.252822,        2.084
  11,    2,   49.004462, -100.101405,        2.424
  12,    2,   49.008146,  -99.949976,        2.744
  13,    2,   49.011719,  -99.798534,        2.884
  14,    2,   49.015181,  -99.647080,        2.814
  15,    2,   49.018532,  -99.495615,        2.664
  16,    2,   49.021771,  -99.344138,        2.624
  17,    2,   49.024900,  -99.192651,        2.964
  18,    2,   49.027917,  -99.041153,        3.654
  19,    2,   49.030824,  -98.889645,        4.074
  20,    2,   49.033619,  -98.738127,        4.234
  21,    2,   49.036303,  -98.586600,        4.154
  22,    2,   49.038877,  -98.435064,        3.924
  23,    2,   49.041339,  -98.283519,        3.684
  24,    2,   49.043690,  -98.131967,        3.454
  25,    2,   49.045929,  -97.980406,        3.234
  26,    2,   49.048058,  -97.828838,        3.024
  27,    2,   49.050076,  -97.677263,        2.884
  28,    2,   49.051982,  -97.525681,        2.854
  29,    2,   49.053778,  -97.374093,        2.904
  30,    2,   49.055462,  -97.222499,        3.024
  31,    2,   49.057035,  -97.070899,        3.134
  32,    2,   49.058497,  -96.919294,        3.154
  33,    2,   49.059848,  -96.767684,        3.134
  34,    2,   49.061088,  -96.616070,        3.054
  35,    2,   49.062217,  -96.464452,        2.884
  36,    2,   49.063234,  -96.312830,        2.604
  37,    2,   49.064141,  -96.161205,        2.324
  38,    2,   49.064936,  -96.009577,        2.104
  39,    2,   49.065621,  -95.857947,        1.944
  40,    2,   49.066194,  -95.706314,        1.834
  41,    2,   49.066656,  -95.554680,        1.584
  42,    2,   49.067007,  -95.403044,        1.354
  43,    2,   49.067247,  -95.251407,        1.324
  44,    2,   49.067375,  -95.099770,        1.534
   1,    3,   49.060793, -101.622332,        0.314
   2,    3,   49.065589, -101.470878,        0.454
   3,    3,   49.070274, -101.319408,        0.694
   4,    3,   49.074847, -101.167923,        0.964
   5,    3,   49.079310, -101.016421,        1.234
   6,    3,   49.083661, -100.864905,        1.464
   7,    3,   49.087902, -100.713374,        1.634
   8,    3,   49.092031, -100.561829,        1.684
   9,    3,   49.096049, -100.410270,        1.764
  10,    3,   49.099956, -100.258698,        1.964
  11,    3,   49.103752, -100.107112,        2.304
  12,    3,   49.107437,  -99.955513,        2.714
  13,    3,   49.111011,  -99.803902,        3.024
  14,    3,   49.114473,  -99.652280,        3.094
  15,    3,   49.117825,  -99.500645,        2.964
  16,    3,   49.121065,  -99.348999,        2.764
  17,    3,   49.124195,  -99.197342,        2.944
  18,    3,   49.127213,  -99.045675,        3.574
  19,    3,   49.130120,  -98.893998,        4.134
  20,    3,   49.132916,  -98.742311,        4.464
  21,    3,   49.135601,  -98.590614,        4.464
  22,    3,   49.138175,  -98.438909,        4.224
  23,    3,   49.140637,  -98.287195,        3.994
  24,    3,   49.142989,  -98.135472,        3.764
  25,    3,   49.145229,  -97.983742,        3.524
  26,    3,   49.147358,  -97.832005,        3.244
  27,    3,   49.149376,  -97.680260,        3.064
  28,    3,   49.151283,  -97.528508,        2.994
  29,    3,   49.153079,  -97.376750,        3.034
  30,    3,   49.154764,  -97.224987,        3.134
  31,    3,   49.156338,  -97.073217,        3.224
  32,    3,   49.157800,  -96.921443,        3.294
  33,    3,   49.159151,  -96.769663,        3.364
  34,    3,   49.160391,  -96.617880,        3.384
  35,    3,   49.161520,  -96.466092,        3.204
  36,    3,   49.162538,  -96.314300,        2.794
  37,    3,   49.163445,  -96.162505,        2.454
  38,    3,   49.164241,  -96.010708,        2.224
  39,    3,   49.164925,  -95.858907,        2.074
  40,    3,   49.165498,  -95.707105,        1.984
  41,    3,   49.165960,  -95.555301,        1.874
  42,    3,   49.166311,  -95.403495,        1.784
  43,    3,   49.166551,  -95.251689,        1.794
  44,    3,   49.166680,  -95.099881,        1.974
   1,    4,   49.159986, -101.629744,        0.474
   2,    4,   49.164782, -101.478121,        0.584
   3,    4,   49.169468, -101.326482,        0.804
   4,    4,   49.174043, -101.174827,        1.064
   5,    4,   49.178506, -101.023157,        1.304
   6,    4,   49.182859, -100.871472,        1.524
   7,    4,   49.187100, -100.719771,        1.694
   8,    4,   49.191230, -100.568057,        1.784
   9,    4,   49.195249, -100.416329,        1.864
  10,    4,   49.199157, -100.264587,        2.004
  11,    4,   49.202954, -100.112832,        2.274
  12,    4,   49.206640,  -99.961064,        2.734
  13,    4,   49.210215,  -99.809283,        3.164
  14,    4,   49.213678,  -99.657491,        3.374
  15,    4,   49.217030,  -99.505687,        3.314
  16,    4,   49.220272,  -99.353871,        2.994
  17,    4,   49.223402,  -99.202045,        2.984
  18,    4,   49.226421,  -99.050208,        3.444
  19,    4,   49.229328,  -98.898361,        4.054
  20,    4,   49.232125,  -98.746504,        4.564
  21,    4,   49.234810,  -98.594637,        4.634
  22,    4,   49.237385,  -98.442762,        4.434
  23,    4,   49.239848,  -98.290878,        4.214
  24,    4,   49.242200,  -98.138986,        3.984
  25,    4,   49.244441,  -97.987086,        3.724
  26,    4,   49.246571,  -97.835178,        3.434
  27,    4,   49.248589,  -97.683264,        3.244
  28,    4,   49.250497,  -97.531342,        3.164
  29,    4,   49.252293,  -97.379414,        3.174
  30,    4,   49.253978,  -97.227480,        3.224
  31,    4,   49.255552,  -97.075541,        3.254
  32,    4,   49.257015,  -96.923596,        3.334
  33,    4,   49.258366,  -96.771647,        3.444
  34,    4,   49.259607,  -96.619693,        3.534
  35,    4,   49.260736,  -96.467735,        3.364
  36,    4,   49.261754,  -96.315774,        2.984
  37,    4,   49.262661,  -96.163809,        2.664
  38,    4,   49.263457,  -96.011841,        2.454
  39,    4,   49.264142,  -95.859870,        2.314
  40,    4,   49.264715,  -95.707898,        2.254
  41,    4,   49.265177,  -95.555923,        2.224
  42,    4,   49.265528,  -95.403948,        2.224
  43,    4,   49.265768,  -95.251971,        2.274
  44,    4,   49.265897,  -95.099993,        2.454
   1,    5,   49.259090, -101.637172,        0.594
   2,    5,   49.263888, -101.485380,        0.694
   3,    5,   49.268575, -101.333572,        0.894
   4,    5,   49.273150, -101.181747,        1.104
   5,    5,   49.277615, -101.029908,        1.334
   6,    5,   49.281968, -100.878053,        1.554
   7,    5,   49.286211, -100.726183,        1.754
   8,    5,   49.290342, -100.574299,        1.894
   9,    5,   49.294362, -100.422401,        2.014
  10,    5,   49.298271, -100.270489,        2.184
  11,    5,   49.302068, -100.118564,        2.454
  12,    5,   49.305755,  -99.966626,        2.914
  13,    5,   49.309330,  -99.814676,        3.344
  14,    5,   49.312795,  -99.662713,        3.604
  15,    5,   49.316148,  -99.510739,        3.594
  16,    5,   49.319390,  -99.358754,        3.254
  17,    5,   49.322521,  -99.206757,        3.144
  18,    5,   49.325540,  -99.054750,        3.474
  19,    5,   49.328449,  -98.902733,        4.034
  20,    5,   49.331246,  -98.750706,        4.554
  21,    5,   49.333932,  -98.598670,        4.614
  22,    5,   49.336507,  -98.446624,        4.454
  23,    5,   49.338971,  -98.294570,        4.244
  24,    5,   49.341323,  -98.142507,        4.014
  25,    5,   49.343565,  -97.990437,        3.774
  26,    5,   49.345695,  -97.838359,        3.524
  27,    5,   49.347714,  -97.686274,        3.364
  28,    5,   49.349622,  -97.534182,        3.304
  29,    5,   49.351419,  -97.382084,        3.254
  30,    5,   49.353104,  -97.229980,        3.204
  31,    5,   49.354678,  -97.077870,        3.164
  32,    5,   49.356142,  -96.925755,        3.214
  33,    5,   49.357493,  -96.773635,        3.344
  34,    5,   49.358734,  -96.621511,        3.504
  35,    5,   49.359864,  -96.469382,        3.334
  36,    5,   49.360882,  -96.317250,        3.074
  37,    5,   49.361789,  -96.165115,        2.854
  38,    5,   49.362585,  -96.012976,        2.704
  39,    5,   49.363270,  -95.860835,        2.594
  40,    5,   49.363843,  -95.708692,        2.564
  41,    5,   49.364306,  -95.556547,        2.564
  42,    5,   49.364657,  -95.404401,        2.604
  43,    5,   49.364897,  -95.252254,        2.694
  44,    5,   49.365026,  -95.100106,        2.774
   1,    6,   49.358106, -101.644617,        0.704
   2,    6,   49.362905, -101.492655,        0.784
   3,    6,   49.367593, -101.340677,        0.934
   4,    6,   49.372169, -101.188683,        1.104
   5,    6,   49.376635, -101.036673,        1.314
   6,    6,   49.380990, -100.884648,        1.574
   7,    6,   49.385233, -100.732609,        1.804
   8,    6,   49.389365, -100.580555,        1.994
   9,    6,   49.393386, -100.428486,        2.184
  10,    6,   49.397296, -100.276405,        2.424
  11,    6,   49.401094, -100.124309,        2.784
  12,    6,   49.404782,  -99.972201,        3.214
  13,    6,   49.408358,  -99.820081,        3.574
  14,    6,   49.411823,  -99.667948,        3.794
  15,    6,   49.415177,  -99.515803,        3.784
  16,    6,   49.418420,  -99.363648,        3.424
  17,    6,   49.421551,  -99.211481,        3.284
  18,    6,   49.424571,  -99.059303,        3.514
  19,    6,   49.427481,  -98.907116,        4.004
  20,    6,   49.430279,  -98.754918,        4.434
  21,    6,   49.432965,  -98.602711,        4.484
  22,    6,   49.435541,  -98.450495,        4.344
  23,    6,   49.438005,  -98.298270,        4.124
  24,    6,   49.440358,  -98.146037,        3.904
  25,    6,   49.442600,  -97.993796,        3.704
  26,    6,   49.444731,  -97.841547,        3.514
  27,    6,   49.446750,  -97.689291,        3.374
  28,    6,   49.448659,  -97.537029,        3.274
  29,    6,   49.450456,  -97.384760,        3.154
  30,    6,   49.452142,  -97.232485,        3.034
  31,    6,   49.453716,  -97.080204,        2.954
  32,    6,   49.455180,  -96.927918,        2.984
  33,    6,   49.456532,  -96.775628,        3.114
  34,    6,   49.457773,  -96.623332,        3.204
  35,    6,   49.458903,  -96.471033,        3.104
  36,    6,   49.459921,  -96.318730,        2.984
  37,    6,   49.460829,  -96.166424,        2.924
  38,    6,   49.461625,  -96.014114,        2.904
  39,    6,   49.462310,  -95.861802,        2.864
  40,    6,   49.462883,  -95.709488,        2.844
  41,    6,   49.463346,  -95.557173,        2.844
  42,    6,   49.463697,  -95.404855,        2.854
  43,    6,   49.463937,  -95.252537,        2.834
  44,    6,   49.464066,  -95.100218,        2.834
   1,    7,   49.457033, -101.652079,        0.794
   2,    7,   49.461833, -101.499947,        0.844
   3,    7,   49.466522, -101.347799,        0.934
   4,    7,   49.471100, -101.195634,        1.084
   5,    7,   49.475567, -101.043454,        1.284
   6,    7,   49.479922, -100.891259,        1.564
   7,    7,   49.484166, -100.739049,        1.834
   8,    7,   49.488300, -100.586824,        2.074
   9,    7,   49.492321, -100.434586,        2.324
  10,    7,   49.496232, -100.282333,        2.634
  11,    7,   49.500032, -100.130068,        3.074
  12,    7,   49.503720,  -99.977789,        3.494
  13,    7,   49.507297,  -99.825498,        3.814
  14,    7,   49.510763,  -99.673194,        3.974
  15,    7,   49.514117,  -99.520879,        3.874
  16,    7,   49.517361,  -99.368552,        3.504
  17,    7,   49.520493,  -99.216215,        3.344
  18,    7,   49.523514,  -99.063866,        3.494
  19,    7,   49.526424,  -98.911508,        3.934
  20,    7,   49.529222,  -98.759139,        4.264
  21,    7,   49.531910,  -98.606761,        4.314
  22,    7,   49.534486,  -98.454374,        4.194
  23,    7,   49.536951,  -98.301978,        3.974
  24,    7,   49.539304,  -98.149574,        3.724
  25,    7,   49.541547,  -97.997162,        3.534
  26,    7,   49.543678,  -97.844742,        3.384
  27,    7,   49.545698,  -97.692315,        3.264
  28,    7,   49.547607,  -97.539882,        3.124
  29,    7,   49.549404,  -97.387442,        2.924
  30,    7,   49.551091,  -97.234995,        2.794
  31,    7,   49.552666,  -97.082544,        2.784
  32,    7,   49.554129,  -96.930086,        2.884
  33,    7,   49.555482,  -96.777625,        2.984
  34,    7,   49.556723,  -96.625158,        2.944
  35,    7,   49.557853,  -96.472687,        2.854
  36,    7,   49.558872,  -96.320213,        2.834
  37,    7,   49.559780,  -96.167735,        2.924
  38,    7,   49.560576,  -96.015255,        3.034
  39,    7,   49.561261,  -95.862772,        3.054
  40,    7,   49.561835,  -95.710286,        3.044
  41,    7,   49.562297,  -95.557799,        3.044
  42,    7,   49.562649,  -95.405311,        3.074
  43,    7,   49.562889,  -95.252821,        3.004
  44,    7,   49.563018,  -95.100331,        2.864
   1,    8,   49.555872, -101.659558,        0.894
   2,    8,   49.560673, -101.507255,        0.894
   3,    8,   49.565363, -101.354936,        0.934
   4,    8,   49.569942, -101.202601,        1.044
   5,    8,   49.574410, -101.050251,        1.234
   6,    8,   49.578766, -100.897885,        1.534
   7,    8,   49.583011, -100.745504,        1.824
   8,    8,   49.587145, -100.593108,        2.104
   9,    8,   49.591168, -100.440699,        2.394
  10,    8,   49.595080, -100.288275,        2.774
  11,    8,   49.598880, -100.135839,        3.234
  12,    8,   49.602569,  -99.983389,        3.634
  13,    8,   49.606147,  -99.830927,        3.924
  14,    8,   49.609613,  -99.678452,        4.034
  15,    8,   49.612969,  -99.525966,        3.814
  16,    8,   49.616213,  -99.373468,        3.454
  17,    8,   49.619346,  -99.220959,        3.274
  18,    8,   49.622368,  -99.068440,        3.364
  19,    8,   49.625278,  -98.915910,        3.704
  20,    8,   49.628077,  -98.763370,        3.984
  21,    8,   49.630765,  -98.610821,        4.074
  22,    8,   49.633342,  -98.458262,        3.994
  23,    8,   49.635807,  -98.305695,        3.764
  24,    8,   49.638162,  -98.153119,        3.494
  25,    8,   49.640405,  -98.000536,        3.304
  26,    8,   49.642536,  -97.847945,        3.224
  27,    8,   49.644557,  -97.695346,        3.204
  28,    8,   49.646466,  -97.542741,        3.164
  29,    8,   49.648264,  -97.390129,        2.974
  30,    8,   49.649950,  -97.237512,        2.854
  31,    8,   49.651526,  -97.084888,        2.894
  32,    8,   49.652990,  -96.932260,        3.034
  33,    8,   49.654343,  -96.779626,        3.034
  34,    8,   49.655584,  -96.626988,        2.884
  35,    8,   49.656714,  -96.474346,        2.744
  36,    8,   49.657733,  -96.321700,        2.704
  37,    8,   49.658641,  -96.169050,        2.844
  38,    8,   49.659438,  -96.016398,        3.014
  39,    8,   49.660123,  -95.863743,        3.094
  40,    8,   49.660697,  -95.711086,        3.134
  41,    8,   49.661160,  -95.558427,        3.164
  42,    8,   49.661511,  -95.405767,        3.214
  43,    8,   49.661751,  -95.253106,        3.194
  44,    8,   49.661880,  -95.100444,        3.064
   1,    9,   49.654622, -101.667053,        0.984
   2,    9,   49.659424, -101.514580,        0.944
   3,    9,   49.664115, -101.362090,        0.944
   4,    9,   49.668695, -101.209584,        1.014
   5,    9,   49.673163, -101.057062,        1.194
   6,    9,   49.677521, -100.904525,        1.474
   7,    9,   49.681767, -100.751973,        1.784
   8,    9,   49.685902, -100.599406,        2.094
   9,    9,   49.689925, -100.446826,        2.434
  10,    9,   49.693838, -100.294231,        2.854
  11,    9,   49.697639, -100.141623,        3.304
  12,    9,   49.701329,  -99.989002,        3.704
  13,    9,   49.704908,  -99.836368,        3.964
  14,    9,   49.708375,  -99.683722,        3.964
  15,    9,   49.711731,  -99.531064,        3.644
  16,    9,   49.714976,  -99.378395,        3.324
  17,    9,   49.718110,  -99.225715,        3.134
  18,    9,   49.721132,  -99.073023,        3.164
  19,    9,   49.724043,  -98.920322,        3.394
  20,    9,   49.726843,  -98.767610,        3.634
  21,    9,   49.729531,  -98.614889,        3.754
  22,    9,   49.732109,  -98.462159,        3.734
  23,    9,   49.734575,  -98.309420,        3.504
  24,    9,   49.736929,  -98.156673,        3.244
  25,    9,   49.739173,  -98.003917,        3.094
  26,    9,   49.741305,  -97.851154,        3.094
  27,    9,   49.743326,  -97.698384,        3.214
  28,    9,   49.745235,  -97.545607,        3.294
  29,    9,   49.747034,  -97.392823,        3.284
  30,    9,   49.748721,  -97.240034,        3.284
  31,    9,   49.750296,  -97.087238,        3.284
  32,    9,   49.751761,  -96.934438,        3.254
  33,    9,   49.753114,  -96.781632,        3.104
  34,    9,   49.754356,  -96.628822,        2.844
  35,    9,   49.755486,  -96.476008,        2.614
  36,    9,   49.756506,  -96.323190,        2.514
  37,    9,   49.757414,  -96.170368,        2.644
  38,    9,   49.758210,  -96.017544,        2.834
  39,    9,   49.758896,  -95.864717,        2.994
  40,    9,   49.759470,  -95.711888,        3.104
  41,    9,   49.759932,  -95.559057,        3.184
  42,    9,   49.760284,  -95.406224,        3.214
  43,    9,   49.760524,  -95.253391,        3.174
  44,    9,   49.760653,  -95.100557,        3.054
   1,   10,   49.753282, -101.674565,        1.034
   2,   10,   49.758085, -101.521921,        0.974
   3,   10,   49.762777, -101.369259,        0.954
   4,   10,   49.767358, -101.216582,        0.994
   5,   10,   49.771827, -101.063889,        1.174
   6,   10,   49.776186, -100.911180,        1.464
   7,   10,   49.780433, -100.758457,        1.774
   8,   10,   49.784569, -100.605719,        2.104
   9,   10,   49.788593, -100.452966,        2.474
  10,   10,   49.792507, -100.300200,        2.914
  11,   10,   49.796309, -100.147420,        3.364
  12,   10,   49.799999,  -99.994627,        3.754
  13,   10,   49.803579,  -99.841822,        4.034
  14,   10,   49.807047,  -99.689004,        4.024
  15,   10,   49.810404,  -99.536174,        3.714
  16,   10,   49.813649,  -99.383333,        3.374
  17,   10,   49.816784,  -99.230481,        3.124
  18,   10,   49.819807,  -99.077617,        3.054
  19,   10,   49.822718,  -98.924744,        3.184
  20,   10,   49.825519,  -98.771860,        3.384
  21,   10,   49.828208,  -98.618967,        3.554
  22,   10,   49.830786,  -98.466065,        3.584
  23,   10,   49.833252,  -98.313154,        3.354
  24,   10,   49.835607,  -98.160234,        3.084
  25,   10,   49.837851,  -98.007306,        2.934
  26,   10,   49.839984,  -97.854371,        2.944
  27,   10,   49.842005,  -97.701429,        3.134
  28,   10,   49.843915,  -97.548479,        3.324
  29,   10,   49.845714,  -97.395523,        3.444
  30,   10,   49.847401,  -97.242561,        3.494
  31,   10,   49.848977,  -97.089593,        3.434
  32,   10,   49.850442,  -96.936620,        3.254
  33,   10,   49.851796,  -96.783642,        3.004
  34,   10,   49.853038,  -96.630660,        2.714
  35,   10,   49.854168,  -96.477673,        2.454
  36,   10,   49.855188,  -96.324683,        2.324
  37,   10,   49.856096,  -96.171689,        2.444
  38,   10,   49.856893,  -96.018692,        2.614
  39,   10,   49.857578,  -95.865693,        2.794
  40,   10,   49.858153,  -95.712691,        2.934
  41,   10,   49.858615,  -95.559688,        3.024
  42,   10,   49.858967,  -95.406683,        3.034
  43,   10,   49.859207,  -95.253677,        2.954
  44,   10,   49.859336,  -95.100671,        2.784
   1,   11,   49.851852, -101.682094,        1.044
   2,   11,   49.856656, -101.529278,        0.974
   3,   11,   49.861349, -101.376445,        0.934
   4,   11,   49.865931, -101.223596,        0.984
   5,   11,   49.870402, -101.070731,        1.204
   6,   11,   49.874761, -100.917851,        1.494
   7,   11,   49.879009, -100.764955,        1.824
   8,   11,   49.883146, -100.612045,        2.144
   9,   11,   49.887171, -100.459121,        2.524
  10,   11,   49.891085, -100.306182,        2.974
  11,   11,   49.894888, -100.153230,        3.414
  12,   11,   49.898580, -100.000265,        3.784
  13,   11,   49.902160,  -99.847288,        4.064
  14,   11,   49.905629,  -99.694298,        4.134
  15,   11,   49.908986,  -99.541296,        4.014
  16,   11,   49.912233,  -99.388282,        3.734
  17,   11,   49.915368,  -99.235257,        3.374
  18,   11,   49.918391,  -99.082222,        3.124
  19,   11,   49.921304,  -98.929176,        3.094
  20,   11,   49.924105,  -98.776120,        3.214
  21,   11,   49.926794,  -98.623054,        3.424
  22,   11,   49.929373,  -98.469979,        3.554
  23,   11,   49.931840,  -98.316896,        3.364
  24,   11,   49.934196,  -98.163803,        3.074
  25,   11,   49.936440,  -98.010703,        2.834
  26,   11,   49.938573,  -97.857595,        2.764
  27,   11,   49.940595,  -97.704480,        2.974
  28,   11,   49.942505,  -97.551358,        3.194
  29,   11,   49.944304,  -97.398229,        3.344
  30,   11,   49.945992,  -97.245095,        3.364
  31,   11,   49.947568,  -97.091954,        3.234
  32,   11,   49.949033,  -96.938808,        3.034
  33,   11,   49.950387,  -96.785657,        2.814
  34,   11,   49.951630,  -96.632502,        2.574
  35,   11,   49.952761,  -96.479343,        2.334
  36,   11,   49.953780,  -96.326179,        2.234
  37,   11,   49.954689,  -96.173013,        2.294
  38,   11,   49.955486,  -96.019843,        2.404
  39,   11,   49.956171,  -95.866671,        2.514
  40,   11,   49.956746,  -95.713496,        2.614
  41,   11,   49.957209,  -95.560320,        2.674
  42,   11,   49.957560,  -95.407142,        2.664
  43,   11,   49.957800,  -95.253964,        2.544
  44,   11,   49.957929,  -95.100784,        2.344
   1,   12,   49.950332, -101.689641,        1.014
   2,   12,   49.955138, -101.536652,        0.954
   3,   12,   49.959832, -101.383647,        0.924
   4,   12,   49.964415, -101.230626,        1.024
   5,   12,   49.968886, -101.077589,        1.274
   6,   12,   49.973246, -100.924536,        1.574
   7,   12,   49.977495, -100.771468,        1.884
   8,   12,   49.981633, -100.618386,        2.174
   9,   12,   49.985659, -100.465289,        2.524
  10,   12,   49.989574, -100.312178,        2.964
  11,   12,   49.993378, -100.159054,        3.404
  12,   12,   49.997070, -100.005916,        3.784
  13,   12,   50.000651,  -99.852766,        4.034
  14,   12,   50.004121,  -99.699603,        4.194
  15,   12,   50.007479,  -99.546429,        4.224
  16,   12,   50.010726,  -99.393242,        4.094
  17,   12,   50.013861,  -99.240045,        3.734
  18,   12,   50.016886,  -99.086837,        3.274
  19,   12,   50.019799,  -98.933618,        3.004
  20,   12,   50.022600,  -98.780389,        2.944
  21,   12,   50.025291,  -98.627150,        3.104
  22,   12,   50.027870,  -98.473903,        3.324
  23,   12,   50.030337,  -98.320646,        3.284
  24,   12,   50.032693,  -98.167381,        3.104
  25,   12,   50.034938,  -98.014108,        2.854
  26,   12,   50.037072,  -97.860827,        2.734
  27,   12,   50.039094,  -97.707538,        2.894
  28,   12,   50.041005,  -97.554243,        3.064
  29,   12,   50.042804,  -97.400941,        3.144
  30,   12,   50.044492,  -97.247634,        3.104
  31,   12,   50.046069,  -97.094320,        2.944
  32,   12,   50.047534,  -96.941001,        2.784
  33,   12,   50.048888,  -96.787677,        2.644
  34,   12,   50.050131,  -96.634349,        2.504
  35,   12,   50.051262,  -96.481016,        2.314
  36,   12,   50.052282,  -96.327679,        2.214
  37,   12,   50.053191,  -96.174340,        2.194
  38,   12,   50.053988,  -96.020997,        2.204
  39,   12,   50.054674,  -95.867651,        2.204
  40,   12,   50.055248,  -95.714303,        2.224
  41,   12,   50.055711,  -95.560954,        2.234
  42,   12,   50.056063,  -95.407603,        2.184
  43,   12,   50.056303,  -95.254251,        2.054
  44,   12,   50.056432,  -95.100898,        1.824
   1,   13,   50.048722, -101.697204,        0.994
   2,   13,   50.053529, -101.544043,        0.944
   3,   13,   50.058224, -101.390865,        0.924
   4,   13,   50.062807, -101.237672,        1.064
   5,   13,   50.067280, -101.084462,        1.334
   6,   13,   50.071641, -100.931237,        1.634
   7,   13,   50.075891, -100.777996,        1.914
   8,   13,   50.080029, -100.624741,        2.134
   9,   13,   50.084056, -100.471471,        2.454
  10,   13,   50.087972, -100.318188,        2.864
  11,   13,   50.091777, -100.164890,        3.304
  12,   13,   50.095470, -100.011580,        3.694
  13,   13,   50.099051,  -99.858257,        3.974
  14,   13,   50.102522,  -99.704921,        4.224
  15,   13,   50.105881,  -99.551573,        4.394
  16,   13,   50.109128,  -99.398214,        4.434
  17,   13,   50.112265,  -99.244843,        4.154
  18,   13,   50.115290,  -99.091462,        3.534
  19,   13,   50.118203,  -98.938070,        2.974
  20,   13,   50.121005,  -98.784668,        2.614
  21,   13,   50.123696,  -98.631256,        2.594
  22,   13,   50.126276,  -98.477835,        2.794
  23,   13,   50.128744,  -98.324405,        2.884
  24,   13,   50.131101,  -98.170966,        2.894
  25,   13,   50.133346,  -98.017520,        2.884
  26,   13,   50.135480,  -97.864065,        2.944
  27,   13,   50.137502,  -97.710604,        3.004
  28,   13,   50.139414,  -97.557135,        3.024
  29,   13,   50.141214,  -97.403660,        2.974
  30,   13,   50.142902,  -97.250178,        2.864
  31,   13,   50.144479,  -97.096691,        2.684
  32,   13,   50.145945,  -96.943199,        2.564
  33,   13,   50.147299,  -96.789701,        2.484
  34,   13,   50.148542,  -96.636199,        2.414
  35,   13,   50.149673,  -96.482693,        2.274
  36,   13,   50.150694,  -96.329183,        2.164
