FID,OBJECTID,MUNI_NAME,MUNI_NO,ASMT_DISTR,ASMT_DIST_,PLAN_RGN_O,PLAN_RGN_1,PLAN_DIST_,PLAN_DIST1,MUNI_STATU,PROV_ELECT,LEGAL_NAME,SHAPE_AREA,SHAPE_LEN,x,y
0,8,Morris,152.000000000000000,MORDEN,08,4,MORDEN, , ,RM,Morris,RM of Morris,1041848206.009999990463257,155901.246279000013601,610209.0000000,5474140.0000000
1,4,La Broquerie,138.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,La Verendrye,RM of La Broquerie,580714133.718999981880188,98403.784435800000210,680626.0000000,5474830.0000000
2,6,De Salaberry,119.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,Emerson,RM of De Salaberry,671553523.735000014305115,124766.998600999999326,643500.0000000,5472160.0000000
3,29,Killarney-Turtle Mountain,196.000000000000000,SOURIS,09,6,BRANDON, , ,M,Spruce Woods,Municipality of Killarney-Turtle Mountain,943578801.583999991416931,140307.505249999987427,450383.0000000,5443790.0000000
4,32,Stuartburn,612.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,La Verendrye,RM of Stuartburn,1167081738.220000028610229,139079.452018999989377,681284.0000000,5445270.0000000
5,33,Melita,429.000000000000000,SOURIS,09,6,BRANDON,SOUTHWEST PLANNING DISTRICT,936,Town,Arthur-Virden,Town of Melita,3058482.876079999841750,7404.403585580000254,355452.0000000,5459760.0000000
6,2480,Louise,145.000000000000000,MORDEN,08,4,MORDEN, , ,M,Midland,Municipality of Louise,974507399.606999993324280,141072.525752999994438,509270.0000000,5444570.0000000
7,14,Argyle,102.000000000000000,MORDEN,08,6,BRANDON,23 WEST PLANNING DISTRICT,946,RM,Spruce Woods,RM of Argyle,810078174.713000059127808,134670.966829999990296,485826.0000000,5467800.0000000
8,15,Carman,409.000000000000000,MORDEN,08,4,MORDEN,CARMAN-DUFFERIN PLANNING DISTRICT,949,Town,Midland,Town of Carman,4309840.863710000179708,9721.961071309999170,572052.0000000,5484340.0000000
9,17,Thompson,195.000000000000000,MORDEN,08,4,MORDEN,MSTW PLANNING DISTRICT,904,RM,Midland,RM of Thompson,533680351.087000012397766,98531.784738200003630,554558.0000000,5468270.0000000
10,18,St. Pierre-Jolys,357.000000000000000,STEINBACH,23,2,STEINBACH, , ,Village,Emerson,Village of St. Pierre-Jolys,2551396.093780000228435,6552.138270100000227,645990.0000000,5478320.0000000
11,19,Piney,610.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,La Verendrye,RM of Piney,2462329987.989999771118164,249102.795848000008846,725288.0000000,5453260.0000000
12,20,Roland,169.000000000000000,MORDEN,08,4,MORDEN, , ,RM,Midland,RM of Roland,485124020.439999997615814,88654.344293300004210,579869.0000000,5467480.0000000
13,23,Morris,435.000000000000000,MORDEN,08,4,MORDEN, , ,Town,Morris,Town of Morris,6153467.902619999833405,11969.261625900000581,618374.0000000,5467810.0000000
14,2476,Mossey River,154.000000000000000,DAUPHIN,06,7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Swan River,Mossey River Municipality,1136379487.000000000000000,349843.810101000010036,429193.0000000,5718390.0000000
15,26,Montcalm,151.000000000000000,MORDEN,08,4,MORDEN, , ,RM,Emerson,RM of Montcalm,471715285.050999999046326,147661.738203999993857,622067.0000000,5449770.0000000
16,36,Stanley,190.000000000000000,MORDEN,08,4,MORDEN,MSTW PLANNING DISTRICT,904,RM,Emerson/Morden-Winkler,RM of Stanley,835307119.820000052452087,164062.777984999993350,567875.0000000,5442440.0000000
17,62,Gillam,619.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Kewatinook,Town of Gillam,2290083451.170000076293945,280850.022912000014912,791423.0000000,6266160.0000000
18,63,Leaf Rapids,428.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Flin Flon,Town of Leaf Rapids,1422159130.640000104904175,158685.106498999986798,453083.0000000,6258010.0000000
19,64,Mystery Lake,608.000000000000000,THOMPSON,10,9,THOMPSON,THOMPSON PLANNING DISTRICT,905,LGD,Thompson,LGD of Mystery Lake,3726616693.000000000000000,492445.884507999988273,564966.0000000,6156910.0000000
20,66,Flin Flon,540.000000000000000,THOMPSON,10,9,THOMPSON, , ,City,Flin Flon,City of Flin Flon,24230773.986000001430511,25841.928666799998609,317754.0000000,6072590.0000000
21,67,Kelsey,604.000000000000000,SWAN RIVER,24,9,THOMPSON, , ,RM,The Pas,RM of Kelsey,857133060.873000025749207,284940.038989000022411,340493.0000000,5961490.0000000
22,65,Snow Lake,448.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Flin Flon,Town of Snow Lake,1406648574.869999885559082,280171.768592000007629,436728.0000000,6075210.0000000
23,68,The Pas,457.000000000000000,SWAN RIVER,24,9,THOMPSON, , ,Town,The Pas,Town of The Pas,41911322.443800002336502,60753.998466800003371,356449.0000000,5971920.0000000
24,40,Morden,433.000000000000000,MORDEN,08,4,MORDEN,MSTW PLANNING DISTRICT,904,City,Morden-Winkler,City of Morden,16702626.443800000473857,25473.189890699999523,565012.0000000,5449090.0000000
25,2791,Rossburn,353.000000000000000,MINNEDOSA,07,7,DAUPHIN, , ,M,Riding Mountain,Rossburn Municipality,776537875.559999942779541,118240.591885000001639,375854.0000000,5619720.0000000
26,2792,Yellowhead,183.000000000000000,MINNEDOSA,07,6,BRANDON, , ,RM,Riding Mountain,RM of Yellowhead,1161091337.579999923706055,137713.944630000012694,392973.0000000,5591040.0000000
27,44,Winkler,463.000000000000000,MORDEN,08,4,MORDEN,MSTW PLANNING DISTRICT,904,City,Morden-Winkler,City of Winkler,21241828.706999998539686,19766.493498899999395,577335.0000000,5448310.0000000
28,46,Altona,400.000000000000000,MORDEN,08,4,MORDEN,"RHINELAND, PLUM COULEE, GRETNA, ALTONA P.D.",948,Town,Emerson,Town of Altona,8030597.781100000254810,12842.517534299999170,604786.0000000,5440380.0000000
29,51,Thompson,560.000000000000000,THOMPSON,10,9,THOMPSON,THOMPSON PLANNING DISTRICT,905,City,Thompson,City of Thompson,18897416.017900001257658,31835.485174199999165,572503.0000000,6179670.0000000
30,53,Winnipeg Beach,465.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,Town,Gimli,Town of Winnipeg Beach,4009018.451069999951869,14953.532354900000428,643685.0000000,5596430.0000000
31,60,Churchill,603.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Kewatinook,Town of Churchill,64862597.180900000035763,37354.887213800000609,782473.0000000,6521130.0000000
32,61,Lynn Lake,614.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Flin Flon,Town of Lynn Lake,1032610450.389999985694885,128545.837211000005482,373873.0000000,6299720.0000000
33,69,Grand Rapids,615.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Swan River,Town of Grand Rapids,105683086.924999997019768,51179.031931500001519,479416.0000000,5896360.0000000
34,70,Mountain,617.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,RM,Swan River,RM of Mountain,2627374336.329999923706055,457826.614982000028249,387081.0000000,5779260.0000000
35,2785,Harrison Park,609.000000000000000,MINNEDOSA,07,6,BRANDON, , ,M,Riding Mountain,Municipality of Harrison Park,1121765597.700000047683716,200634.551066000014544,417935.0000000,5600600.0000000
36,2786,Lorne,144.000000000000000,MORDEN,08,3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,M,Midland,Municipality of Lorne,972725808.830999970436096,139425.472899999993388,518211.0000000,5476810.0000000
37,2787,Emerson-Franklin,127.000000000000000,STEINBACH,23,2,STEINBACH, , ,M,Emerson,Municipality of Emerson-Franklin,1006400662.480000019073486,153425.915077000012388,644502.0000000,5444560.0000000
38,2790,Swan Valley West,193.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,M,Swan River,Municipality of Swan Valley West,1731612183.930000066757202,220281.942506999999750,334881.0000000,5767180.0000000
39,78,Grahamdale,606.000000000000000,DAUPHIN,06,8,INTERLAKE (SELKIRK), , ,RM,Interlake,RM of Grahamdale,2413422497.510000228881836,545376.706098000053316,541722.0000000,5690470.0000000
40,85,Dauphin,118.000000000000000,DAUPHIN,06,7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Dauphin,RM of Dauphin,1518172091.099999904632568,204183.295790000003763,424812.0000000,5670980.0000000
41,86,Alonsa,601.000000000000000,DAUPHIN,06,7,DAUPHIN, , ,RM,Agassiz/Interlake,RM of Alonsa,3043397254.039999961853027,534434.684011999983341,494167.0000000,5647130.0000000
42,2477,Lakeshore,143.000000000000000,DAUPHIN,06,7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Dauphin/Swan River,RM of Lakeshore,1319045647.859999895095825,255908.352207999996608,455241.0000000,5674770.0000000
43,1826,Bifrost-Riverton,105.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,M,Interlake/Gimli,Municipality of Bifrost-Riverton,1652419472.549999952316284,247750.186030999990180,628129.0000000,5658660.0000000
