StnNAME,Lat,Long,AvgWindSpeed(km/h),MaxWindSpeed(km/h),AvgWindDirection(degrees)
Alexander,49.8134,-100.3721,6,7,313
Alonsa,50.7274,-99.0427,7,9,303
Altona,49.0953,-97.5279,6,8,322
Arborg,50.9044,-97.273,13,15,282
Argue,49.4363,-100.3078,5,5,292
Austin,49.9607,-98.9054,7,8,299
Bagot,49.9601,-98.6367,7,8,281
Baldur,49.3557,-99.2482,9,9,302
Beausejour,50.1163,-96.4335,13,16,291
Bede,49.4014,-100.9295,2,2,126
Birch River,52.3472,-101.1099,10,11,199
Birtle,50.4109,-100.8933,6,6,309
Boissevain,49.2399,-100.0554,9,9,283
Brunkild,49.5909,-97.5179,9,9,276
Carberry,49.9058,-99.3575,9,9,278
Carman,49.498,-98.0296,8,10,288
Cartwright,49.0884,-99.3248,8,9,311
Clearwater,49.1182,-99.0543,9,9,304
Dand,49.3776,-100.5387,4,5,311
Deloraine,49.1481,-100.4905,5,6,238
Dominion City,49.1631,-97.1454,5,6,287
Drifting River,51.3575,-100.3609,10,11,286
Dugald,49.8262,-96.7757,9,11,296
Eden,50.4324,-99.4392,13,17,286
Elie,49.9602,-97.7463,10,11,292
Elma,49.8754,-95.9201,12,13,303
Eriksdale,50.8292,-98.1109,6,6,288
Ethelbert,51.5723,-100.4875,8,9,283
Findlay,49.5545,-100.7872,2,3,329
Fisherton,51.1848,-97.7691,,,
Forrest,50.054,-99.9268,10,12,311
Gardenton,49.0879,-96.6404,7,8,292
Gladstone,50.1421,-98.9498,7,8,282
Glenboro,49.5469,-99.3257,8,9,278
Grandview,51.1845,-100.715,11,14,273
Hamiota,50.1852,-100.6031,5,5,341
Holland,49.591,-98.984,9,9,253
Inglis,50.948,-101.259,3,5,291
Inwood,50.5067,-97.6222,12,13,297
Kane,49.3545,-97.7038,6,6,291
Keld,50.9929,-100.2264,10,11,247
Kenton,50.0187,-100.5926,7,8,308
Killarney,49.1482,-99.6847,7,8,307
Kola,49.857,-101.3701,5,7,340
Lac du Bonnet,50.2796,-96.0507,17,20,283
Lake Audy,50.6803,-100.2593,5,8,291
Lake Francis,50.3583,-97.8755,11,12,294
Lakeland,50.2548,-98.6376,7,8,260
Laurier,50.8753,-99.6024,12,14,298
Manitou,49.2451,-98.5453,12,13,301
Marchand,49.4294,-96.4428,8,9,291
McAuley,50.182,-101.4239,3,5,343
Menisino,49.097,-96.137,12,14,310
Miniota,50.137,-100.9434,6,7,299
Minitonas,52.1439,-100.8824,15,16,237
Minnedosa,50.2718,-99.762,10,11,301
Minto,49.4279,-99.9237,7,8,280
Moosehorn,51.3325,-98.5976,8,10,288
Morris,49.3605,-97.3215,0,3,281
Mountainside,49.1302,-100.2981,7,7,256
Narcisse,50.7024,-97.5282,13,14,288
Neepawa,50.1889,-99.432,8,11,305
Newdale,50.3389,-100.1616,12,13,297
Ninette,49.3261,-99.6987,7,8,294
Oakburn,50.5947,-100.6717,7,8,293
Pierson,49.2151,-101.21,3,3,143
Plumas,50.4029,-99.007,7,8,284
Poplarfield,50.8858,-97.6033,12,13,275
Portage,49.97,-98.2539,9,9,251
Prawda,49.6477,-95.7241,13,13,301
Reedy Creek,50.9461,-98.9286,8,9,268
Reston,49.5763,-101.0311,3,3,60
Rivers,50.0514,-100.2341,7,8,313
Rorketon,51.3327,-99.4934,7,8,283
Rosa,49.2415,-96.8135,6,7,279
Russell,50.7645,-101.2958,5,6,303
Ruthenia,50.8269,-100.9029,5,7,281
San Clara,51.4205,-101.3979,3,5,281
Selkirk,50.1771,-96.7928,14,14,295
Shilo,49.8277,-99.6988,9,10,276
Sinclair,49.4919,-101.3028,5,6,84
Somerset,49.4141,-98.7038,12,13,302
Souris,49.6302,-100.1978,3,4,287
Sprague Lake,49.3325,-95.4056,16,17,302
St Adolphe,49.6958,-97.1178,9,11,309
Starbuck,49.7868,-97.6083,9,9,280
St Claude,49.6649,-98.3329,11,12,276
Steinbach,49.5502,-96.6814,7,8,273
St Rose,51.0816,-99.5237,12,13,274
St. Lazare,50.4473,-101.231,4,5,322
Stonewall,50.1227,-97.3033,14,15,276
St Pierre,49.4491,-96.9627,4,4,285
Swan Valley,52.0566,-101.4903,9,11,243
Taylor's Point,50.8617,-98.4476,9,10,276
Teulon,50.3808,-97.2355,10,11,288
Treherne,49.6348,-98.6761,12,13,266
Virden,49.8767,-100.9089,4,5,345
Vivian,49.8846,-96.411,10,13,293
Waskada,49.0882,-100.9296,5,7,160
Wawanesa,49.6358,-99.6646,7,7,276
Windygates,49.0079,-98.3799,15,16,312
Winkler,49.1215,-97.9316,6,7,297
Woodlands,50.1611,-97.7119,8,9,287
Zhoda,49.2518,-96.5112,6,7,311
