  Station    Measured    Predicted    Offset (KM)    % Difference
---------  ----------  -----------  -------------  --------------
      544          15     13.7806        5.65893         8.12905
      253           3     20.9136        5.9347        597.119
      244          16      8.52193       4.81945        46.7379
      206           9     13.9108        2.50465        54.5639
      505          17     12.2824        4.89568        27.7505
      533          14     17.995         4.69946        28.5361
      534          12     16.7784        3.83003        39.8201
      503           9     13.1822        4.75679        46.4691
      251          10     12.0071        5.1054         20.0709
      740          12      9.4136        3.96086        21.5533
      563          12     18.2161        4.45905        51.8007
      216          10     10.5605        6.44989         5.60494
      209          15     13.014         5.85447        13.2399
      530          11     11.0693        5.06824         0.630111
      314          12     18.4885        2.31746        54.0711
      212           7     15.1811        5.37865       116.873
      502           9     10.3376        4.03683        14.8624
      501          10     11.5219        1.18252        15.2194
      542          13     10.2585        3.30013        21.0888
      241          17     11.0206        7.40223        35.1728
      535          11      9.94359       5.30246         9.60368
      512           9     21.7196        2.54987       141.329
      217           7     12.0443        2.90257        72.061
      545          29     20.0323        3.67629        30.9232
      536          13     11.2986        3.70207        13.0874
      522           5      9.51657       4.37417        90.3314
      218           6     18.7804        4.98096       213.007
      213           4     18.846         5.77684       371.15
      504          14      9.16202       4.36942        34.557
      517           0     15.1038        3.65522      -999
      233          23     19.9344        7.00137        13.3287
      518          10     10.6934        3.46833         6.93424
      204          13     17.6222        2.78567        35.5556
      239          12     14.6855        4.51135        22.3789
      219          15     21.2361        3.41151        41.5741
      214          10     13.2645        2.13552        32.6455
      559          12     17.8507        6.21283        48.756
      525           8     12.5133        3.02826        56.4166
      516          17     15.7391        4.71918         7.4168
      524          11     10.7875        1.47682         1.93143
      532           9     22.5484        2.263         150.538
      548          14     12.3294        4.51496        11.933
      220           8     11.8468        4.43041        48.0852
      531          18     10.6751        0.663875       40.6938
      557          13      9.3852        3.7553         27.8061
      549          13     16.2401        4.16487        24.9241
      556          11     16.0447        2.94278        45.8611
      539          15     16.4708        3.64942         9.80531
      553          12     25.0213        1.73794       108.511
      242          11     20.2503        3.7601         84.0939
      537           3      9.83588       3.86376       227.863
      546          18     11.5215        3.37649        35.9917
      255          11      9.57224       4.05682        12.9796
      547          10     10.9734        3.68382         9.73359
      510          19     20.046         3.56572         5.50512
      221          18     22.6792        4.47811        25.9953
      506          18     13.5901        4.34943        24.4994
      205          14     17.9475        6.16718        28.1966
      222           9     10.0389        4.50264        11.5437
      252          11     16.5401        4.33045        50.3648
      551          13     20.7692        2.90745        59.7629
      541          19     18.2656        5.48839         3.86521
      509          16     13.7023        2.99874        14.3608
      523          11     14.2975        2.87608        29.9773
      232          16     11.7986        5.23207        26.2588
      526          17     19.8943        4.04609        17.0253
      540          11     16.5196        4.0873         50.1781
      562           8     17.1914        4.47455       114.893
      235          13     14.9875        6.19029        15.2887
      560           6      9.58794       1.72229        59.7989
      552          10     23.6578        5.83446       136.578
      245          11      9.68008       1.39677        11.9992
      550          16     17.8409        6.67497        11.5057
      528          12     23.0345        5.64301        91.9542
      538           9     10.8109        3.57011        20.1216
      215          13     12.312         1.82106         5.29211
      520          12     14.3162        6.24596        19.3014
      527          10     13.5085        4.30273        35.0852
      210           9     13.7981        3.32106        53.3125
      558          16     17.075         2.40165         6.71845
      543          15     11.6174        4.3049         22.5508
      514          17     15.8018        5.19633         7.04844
      246          13     19.2858        4.11182        48.3523
      208          14     14.4915        5.66184         3.51094
      561          12      9.90442       3.57675        17.4632
      243          11     10.3272        5.46308         6.11635
      202           6     11.0151        6.45258        83.5848
      554           9     18.9099        3.78169       110.109
      223           9     10.2946        4.12142        14.385
      211          22     25.6675        5.29845        16.6706
      529           6     10.6152        2.64025        76.9202
      555          13     13.6214        4.40259         4.78035
      203          10     10.6605        2.60356         6.60529
      231          14     16.8969        6.4267         20.6919
      515           8     19.4934        6.8158        143.668
      207          12     14.5007        4.80756        20.8395
      201          14     19.8529        4.7227         41.8064
      224           6      8.89342       0.67669        48.2237
      521           6     11.4884        5.85521        91.4729
      507          13      9.60171       4.73834        26.1407
      240          16     15.8583        3.07808         0.885904
      513          20     20.431         5.29564         2.1548
      230          11     15.1658        4.62095        37.871
      225          12     13.3805        2.6256         11.5042
      519           6     10.1509        3.30724        69.1814

Process finished with exit code 0
